基金代码,基金简称,公告日期,截止日期,报告期期初基金总份额,报告期基金总申购份额,报告期基金总赎回份额,报告期期末基金总份额,定期报告所属年度,报告类型
001630,天弘中证计算机主题ETF联接C,2019-04-19 00:00:00,2019-03-31 00:00:00,742907520.93,1704722583.83,1510008855.01,937621249.75,2019,基金定期报告
001693,招商招利1个月期理财债券型C,2019-04-18 00:00:00,2019-03-31 00:00:00,561555732.35,98970020.88,153789730.17,506736023.06,2019,基金定期报告
001723,华商新动力混合A,2019-04-19 00:00:00,2019-03-31 00:00:00,60132552.05,5321069.5,5110974.33,60342647.22,2019,基金定期报告
001750,景顺长城景瑞收益债券A,2019-04-20 00:00:00,2019-03-31 00:00:00,62984725.27,100147.07,8817003.42,54267868.92,2019,基金定期报告
001783,兴银合盈债券A,2019-04-18 00:00:00,2019-03-31 00:00:00,349775.28,35404.58,27015.19,358164.67,2019,基金定期报告
001784,兴银合盈债券C,2019-04-18 00:00:00,2019-03-31 00:00:00,0.0,134483.71,117155.66,17328.05,2019,基金定期报告
001879,长城创业板指数增强A,2019-04-22 00:00:00,2019-03-31 00:00:00,33882943.85,49460296.38,18842556.18,64500684.05,2019,基金定期报告
001932,国寿安保灵活优选混合,2019-04-22 00:00:00,2019-03-31 00:00:00,159137963.94,117167.43,17904282.16,141350849.21,2019,基金定期报告
001984,摩根中国生物医药混合(QDII)A,2019-04-19 00:00:00,2019-03-31 00:00:00,25703614.53,1528846.55,3590101.04,23642360.04,2019,基金定期报告
002063,国泰沪深300指数增强C,2019-04-22 00:00:00,2019-03-31 00:00:00,12940508.65,7977595.31,7686128.48,13231975.48,2019,基金定期报告
002076,浙商中证500指数增强A,2019-04-18 00:00:00,2019-03-31 00:00:00,68350819.36,326549.69,11389228.76,57288140.29,2019,基金定期报告
002197,国泰鑫策略价值灵活配置混合,2019-04-22 00:00:00,2019-03-31 00:00:00,204415911.33,1145295.19,153076755.46,52484451.06,2019,基金定期报告
002256,金信行业优选灵活配置混合,2019-04-20 00:00:00,2019-03-31 00:00:00,31738329.26,71762725.36,20599796.29,82901258.33,2019,基金定期报告
002271,招商安弘灵活配置混合,2019-04-18 00:00:00,2019-03-31 00:00:00,1231477004.72,3368729.97,1130112848.16,104732886.53,2019,基金定期报告
002274,中邮纯债聚利债券型A,2019-04-19 00:00:00,2019-03-31 00:00:00,542052881.15,238170083.23,20289639.19,759933325.19,2019,基金定期报告
002275,中邮纯债聚利债券型C,2019-04-19 00:00:00,2019-03-31 00:00:00,1257099.99,555675.79,588960.82,1223814.96,2019,基金定期报告
002282,平安安享灵活配置混合A,2019-04-19 00:00:00,2019-03-31 00:00:00,101298190.57,1056890.05,42826127.08,59528953.54,2019,基金定期报告
002288,中银稳进策略灵活配置混合A,2019-04-18 00:00:00,2019-03-31 00:00:00,408373253.45,131385.15,137425257.89,271079380.71,2019,基金定期报告
002293,南方益和灵活配置混合,2019-04-19 00:00:00,2019-03-31 00:00:00,348679272.14,705634.46,167557177.99,181827728.61,2019,基金定期报告
002295,广发稳安灵活配置混合A,2019-04-22 00:00:00,2019-03-31 00:00:00,427004234.13,389858.5,160397838.05,266996254.58,2019,基金定期报告
002296,长城行业轮动灵活配置混合A,2019-04-22 00:00:00,2019-03-31 00:00:00,348936145.32,169299.17,187139610.59,161965833.9,2019,基金定期报告
002301,兴业短债债券A,2019-04-18 00:00:00,2019-03-31 00:00:00,101684017.1,12099.31,9625.19,101686491.22,2019,基金定期报告
002304,平安安心灵活配置混合A,2019-04-19 00:00:00,2019-03-31 00:00:00,99786909.31,235435.67,61983743.05,38038601.93,2019,基金定期报告
002337,创金合信季安鑫3个月持有期债券A,2019-04-22 00:00:00,2019-03-31 00:00:00,796737.28,35607.66,733955.19,98389.75,2019,基金定期报告
002338,兴业优债增利债券A,2019-04-18 00:00:00,2019-03-31 00:00:00,160661395.39,538877.74,97695292.11,63504981.02,2019,基金定期报告
002389,招商安德灵活配置混合A,2019-04-18 00:00:00,2019-03-31 00:00:00,842425718.59,245749.51,757796531.29,84874936.81,2019,基金定期报告
002412,华富安福债券,2019-04-20 00:00:00,2019-03-31 00:00:00,151876239.66,80200.89,110627345.43,41329095.12,2019,基金定期报告
002415,融通通盈灵活配置混合,2019-04-18 00:00:00,2019-03-31 00:00:00,140648683.51,7024.9,54201564.5,86454143.91,2019,基金定期报告
002420,汇添富盈鑫灵活配置混合A,2019-04-20 00:00:00,2019-03-31 00:00:00,509816875.73,644403.98,103093604.53,407367675.18,2019,基金定期报告
002446,广发利鑫灵活配置混合A,2019-04-22 00:00:00,2019-03-31 00:00:00,270096976.85,2550.67,54860976.56,215238550.96,2019,基金定期报告
002447,博时裕安纯债一年定期开放债券,2019-04-22 00:00:00,2019-03-31 00:00:00,805293100.71,791910.95,1076854.9,805008156.76,2019,基金定期报告
002456,招商安元灵活配置混合A,2019-04-18 00:00:00,2019-03-31 00:00:00,711616514.47,40991.4,538015732.29,173641773.58,2019,基金定期报告
002458,国泰民利策略收益灵活配置混合,2019-04-22 00:00:00,2019-03-31 00:00:00,1508574284.03,731504.06,26923403.06,1482382385.03,2019,基金定期报告
002489,国泰民福策略价值灵活配置混合A,2019-04-22 00:00:00,2019-03-31 00:00:00,304147614.45,0.0,0.0,304147614.45,2019,基金定期报告
002512,长城久润灵活配置混合A,2019-04-22 00:00:00,2019-03-31 00:00:00,1165800067.87,276971.0,69613878.03,1096463160.84,2019,基金定期报告
002537,平安安盈灵活配置混合A,2019-04-18 00:00:00,2019-03-31 00:00:00,1139001284.61,254488.6,19630422.33,1119625350.88,2019,基金定期报告
002542,长城久鼎灵活配置混合A,2019-04-22 00:00:00,2019-03-31 00:00:00,1691306315.62,90479.56,106573434.67,1584823360.51,2019,基金定期报告
002598,平安消费精选混合A,2019-04-19 00:00:00,2019-03-31 00:00:00,32287595.6,333730.7,2338882.19,30282444.11,2019,基金定期报告
002599,平安消费精选混合C,2019-04-19 00:00:00,2019-03-31 00:00:00,780127.95,154684.45,257480.07,677332.33,2019,基金定期报告
002601,中银证券价值精选灵活配置混合,2019-04-18 00:00:00,2019-03-31 00:00:00,1788485585.59,622434.93,119289632.08,1669818388.44,2019,基金定期报告
002603,工银瑞信瑞丰半年定期开放纯债债券,2019-04-22 00:00:00,2019-03-31 00:00:00,4140394761.85,349012.9,0.0,4140743774.75,2019,基金定期报告
002612,融通通慧混合A/B,2019-04-18 00:00:00,2019-03-31 00:00:00,24161122.65,1939398.2,3519038.84,22581482.01,2019,基金定期报告
002622,广发稳裕混合A,2019-04-22 00:00:00,2019-03-31 00:00:00,1786585657.73,34569748.99,47492399.75,1773663006.97,2019,基金定期报告
002659,兴业中债1-3年政策性金融债指数A,2019-04-18 00:00:00,2019-03-31 00:00:00,99566168.05,51932.17,64481.07,99553619.15,2019,基金定期报告
002690,前海开源恒泽混合A,2019-04-19 00:00:00,2019-03-31 00:00:00,211961090.47,1019066.31,18488428.67,194491728.11,2019,基金定期报告
002691,前海开源恒泽混合C,2019-04-19 00:00:00,2019-03-31 00:00:00,221680980.39,784296.11,157474432.67,64990843.83,2019,基金定期报告
002703,长城久源灵活配置混合A,2019-04-22 00:00:00,2019-03-31 00:00:00,1033873034.74,225418.07,33083760.8,1001014692.01,2019,基金定期报告
002704,德邦锐兴债券A,2019-04-19 00:00:00,2019-03-31 00:00:00,224932166.99,0.0,0.0,224932166.99,2019,基金定期报告
002705,德邦锐兴债券C,2019-04-19 00:00:00,2019-03-31 00:00:00,1676236.45,0.0,0.0,1676236.45,2019,基金定期报告
002714,鹏华金城灵活配置混合,2019-04-19 00:00:00,2019-03-31 00:00:00,2735367911.33,920423.49,24721231.48,2711567103.34,2019,基金定期报告
002719,融通增祥三个月定期开放债券,2019-04-18 00:00:00,2019-03-31 00:00:00,231239351.12,420008.32,1144113.4,230515246.04,2019,基金定期报告
002756,招商招兴3个月定期开放债券A,2019-04-18 00:00:00,2019-03-31 00:00:00,819647562.6,0.0,46.75,819647515.85,2019,基金定期报告
002757,招商招兴3个月定期开放债券C,2019-04-18 00:00:00,2019-03-31 00:00:00,26956.8,0.0,39.04,26917.76,2019,基金定期报告
002768,华安安进灵活配置混合A,2019-04-20 00:00:00,2019-03-31 00:00:00,11767883.72,0.0,907170.53,10860713.19,2019,基金定期报告
002769,兴业短债债券C,2019-04-18 00:00:00,2019-03-31 00:00:00,564957.3,59149.92,286360.71,337746.51,2019,基金定期报告
002904,博时安仁一年定期开放债券型A,2019-04-22 00:00:00,2019-03-31 00:00:00,500448018.96,4466.09,0.0,500452485.05,2019,基金定期报告
002905,博时安仁一年定期开放债券型C,2019-04-22 00:00:00,2019-03-31 00:00:00,47509.23,70.87,0.0,47580.1,2019,基金定期报告
002959,汇添富盈泰灵活配置混合,2019-04-20 00:00:00,2019-03-31 00:00:00,1337825027.37,1835956.05,172082029.67,1167578953.75,2019,基金定期报告
003002,国金及第中短债债券A,2019-04-22 00:00:00,2019-03-31 00:00:00,261728454.43,300829755.84,338398124.13,224160086.14,2019,基金定期报告
003009,国联盈泽中短债债券A,2019-04-19 00:00:00,2019-03-31 00:00:00,249269195.66,39834980.99,118880696.08,170223480.57,2019,基金定期报告
003010,国联盈泽中短债债券C,2019-04-19 00:00:00,2019-03-31 00:00:00,68254832.63,57194073.88,66507285.88,58941620.63,2019,基金定期报告
003071,国联睿祥纯债债券A,2019-04-19 00:00:00,2019-03-31 00:00:00,198954483.79,0.0,0.0,198954483.79,2019,基金定期报告
003072,国联睿祥纯债债券C,2019-04-19 00:00:00,2019-03-31 00:00:00,85599.12,0.0,0.0,85599.12,2019,基金定期报告
003123,天治鑫利纯债债券A,2019-04-18 00:00:00,2019-03-31 00:00:00,10053620.54,0.0,1273318.9,8780301.64,2019,基金定期报告
003124,天治鑫利纯债债券C,2019-04-18 00:00:00,2019-03-31 00:00:00,66393.62,0.0,97.89,66295.73,2019,基金定期报告
003126,长信易进混合A,2019-04-22 00:00:00,2019-03-31 00:00:00,134734.89,15876.5,4989.24,145622.15,2019,基金定期报告
003127,长信易进混合C,2019-04-22 00:00:00,2019-03-31 00:00:00,7068146.43,406993.74,430322.66,7044817.51,2019,基金定期报告
003163,金鹰添益3个月定期开放债券,2019-04-20 00:00:00,2019-03-31 00:00:00,2595023269.62,6257679.19,10039220.65,2591241728.16,2019,基金定期报告
003189,汇添富保鑫灵活配置混合A,2019-04-20 00:00:00,2019-03-31 00:00:00,461760358.0,4926691.04,11697285.71,454989763.33,2019,基金定期报告
003205,财通可转债债券C,2019-04-22 00:00:00,2019-03-31 00:00:00,22608.08,0.0,0.0,22608.08,2019,基金定期报告
003239,博时安祺6个月定期开放债券A,2019-04-22 00:00:00,2019-03-31 00:00:00,1005338510.54,0.0,0.0,1005338510.54,2019,基金定期报告
003240,博时安祺6个月定期开放债券C,2019-04-22 00:00:00,2019-03-31 00:00:00,7192297.01,0.0,0.0,7192297.01,2019,基金定期报告
003275,国联安添利增长债券A,2019-04-22 00:00:00,2019-03-31 00:00:00,9638750.98,12350098.43,1774993.92,20213855.49,2019,基金定期报告
003276,国联安添利增长债券C,2019-04-22 00:00:00,2019-03-31 00:00:00,3649609.03,944828.14,1825268.99,2769168.18,2019,基金定期报告
003297,招商双债增强债券(LOF)E,2019-04-18 00:00:00,2019-03-31 00:00:00,0.0,24.47,0.0,24.47,2019,基金定期报告
003315,景顺长城政策性金融债债券A,2019-04-20 00:00:00,2019-03-31 00:00:00,7598523.77,28285.77,756654.79,6870154.75,2019,基金定期报告
003403,华商瑞丰短债债券A,2019-04-19 00:00:00,2019-03-31 00:00:00,22800485.95,225862.94,2781440.88,20244908.01,2019,基金定期报告
003471,新疆前海联合添鑫3个月定期开放债券A,2019-04-19 00:00:00,2019-03-31 00:00:00,504264065.34,0.11,0.0,504264065.45,2019,基金定期报告
003472,新疆前海联合添鑫3个月定期开放债券C,2019-04-19 00:00:00,2019-03-31 00:00:00,694.89,0.0,0.0,694.89,2019,基金定期报告
003520,万家1-3年政策性金融债纯债债券A,2019-04-18 00:00:00,2019-03-31 00:00:00,1984205582.4,346772363.59,128839650.17,2202138295.82,2019,基金定期报告
003521,万家1-3年政策性金融债纯债债券C,2019-04-18 00:00:00,2019-03-31 00:00:00,1698744.44,697979.01,1935698.51,461024.94,2019,基金定期报告
003532,汇添富鑫利定期开放债券A,2019-04-20 00:00:00,2019-03-31 00:00:00,200068475.03,935184259.26,9.52,1135252724.77,2019,基金定期报告
003533,汇添富鑫利定期开放债券C,2019-04-20 00:00:00,2019-03-31 00:00:00,31899.38,0.0,0.0,31899.38,2019,基金定期报告
003564,博时安诚3个月定期开放债券A,2019-04-22 00:00:00,2019-03-31 00:00:00,495220727.22,10932.57,422681.61,494808978.18,2019,基金定期报告
003565,博时安诚3个月定期开放债券C,2019-04-22 00:00:00,2019-03-31 00:00:00,5279390.71,35112.63,1993298.46,3321204.88,2019,基金定期报告
003682,博时安弘一年定期开放债券型A,2019-04-22 00:00:00,2019-03-31 00:00:00,516202621.92,0.0,0.0,516202621.92,2019,基金定期报告
003683,博时安弘一年定期开放债券型C,2019-04-22 00:00:00,2019-03-31 00:00:00,253372.37,0.0,0.0,253372.37,2019,基金定期报告
003696,国泰润鑫定期开放债券,2019-04-22 00:00:00,2019-03-31 00:00:00,788224128.87,504859366.69,14495.39,1293069000.17,2019,基金定期报告
003760,国泰中证500指数增强A,2019-04-22 00:00:00,2019-03-31 00:00:00,54992736.59,5070.52,54433131.5,564675.61,2019,基金定期报告
003761,国泰中证500指数增强C,2019-04-22 00:00:00,2019-03-31 00:00:00,4293016.24,0.0,2224662.58,2068353.66,2019,基金定期报告
003822,中信建投行业轮换混合A,2019-04-19 00:00:00,2019-03-31 00:00:00,41933458.3,6287060.23,10951329.53,37269189.0,2019,基金定期报告
003823,中信建投行业轮换混合C,2019-04-19 00:00:00,2019-03-31 00:00:00,193657773.17,22794387.09,179615915.68,36836244.58,2019,基金定期报告
003880,嘉实稳骏纯债债券,2019-04-20 00:00:00,2019-03-31 00:00:00,29284503.79,542951.75,8830653.83,20996801.71,2019,基金定期报告
003938,南方荣尊混合A,2019-04-19 00:00:00,2019-03-31 00:00:00,81477838.77,0.0,0.0,81477838.77,2019,基金定期报告
003939,南方荣尊混合C,2019-04-19 00:00:00,2019-03-31 00:00:00,41044089.79,0.0,0.0,41044089.79,2019,基金定期报告
003952,兴业嘉瑞6个月定期开放债券A,2019-04-18 00:00:00,2019-03-31 00:00:00,1000001579.84,0.06,0.0,1000001579.9,2019,基金定期报告
003953,兴业嘉瑞6个月定期开放债券C,2019-04-18 00:00:00,2019-03-31 00:00:00,1340.05,0.1,0.0,1340.15,2019,基金定期报告
003957,安信量化精选沪深300指数增强A,2019-04-22 00:00:00,2019-03-31 00:00:00,517655.17,144776.52,70963.93,591467.76,2019,基金定期报告
003958,安信量化精选沪深300指数增强C,2019-04-22 00:00:00,2019-03-31 00:00:00,86816053.09,17766293.91,37853811.66,66728535.34,2019,基金定期报告
003980,中银证券瑞益灵活配置混合A,2019-04-18 00:00:00,2019-03-31 00:00:00,42376047.3,0.0,0.0,42376047.3,2019,基金定期报告
003981,中银证券瑞益灵活配置混合C,2019-04-18 00:00:00,2019-03-31 00:00:00,11825516.15,0.0,0.0,11825516.15,2019,基金定期报告
004031,鑫元添利三个月定期开放债券,2019-04-18 00:00:00,2019-03-31 00:00:00,9879790.13,386.7,594.9,9879581.93,2019,基金定期报告
004117,大成惠祥纯债债券,2019-04-19 00:00:00,2019-03-31 00:00:00,2000051466.16,117.64,49778.59,2000001805.21,2019,基金定期报告
004122,兴银长益三个月定期开放债券,2019-04-18 00:00:00,2019-03-31 00:00:00,3000426481.81,15.72,0.0,3000426497.53,2019,基金定期报告
004123,兴银长盈三个月定期开放债券A,2019-04-18 00:00:00,2019-03-31 00:00:00,2000407808.79,0.24,0.0,2000407809.03,2019,基金定期报告
004155,中信保诚至泰中短债债券A,2019-04-18 00:00:00,2019-03-31 00:00:00,191201423.51,16410066.47,57193397.41,150418092.57,2019,基金定期报告
004156,中信保诚至泰中短债债券C,2019-04-18 00:00:00,2019-03-31 00:00:00,17068977.95,6543784.33,20650191.67,2962570.61,2019,基金定期报告
004189,华商消费行业股票,2019-04-19 00:00:00,2019-03-31 00:00:00,29182112.34,2294234.14,2351926.06,29124420.42,2019,基金定期报告
004218,前海开源裕和混合A,2019-04-19 00:00:00,2019-03-31 00:00:00,47261225.05,116.88,15274402.62,31986939.31,2019,基金定期报告
004242,兴业稳康三年定期开放债券,2019-04-18 00:00:00,2019-03-31 00:00:00,200005036.9,0.0,0.0,200005036.9,2019,基金定期报告
004389,大成惠明纯债债券,2019-04-19 00:00:00,2019-03-31 00:00:00,738059917.95,0.0,0.0,738059917.95,2019,基金定期报告
004469,汇添富鑫益定期开放债券型A,2019-04-20 00:00:00,2019-03-31 00:00:00,1500121311.22,413.38,0.0,1500121724.6,2019,基金定期报告
004470,汇添富鑫益定期开放债券型C,2019-04-20 00:00:00,2019-03-31 00:00:00,92610.41,130.6,0.0,92741.01,2019,基金定期报告
004512,海富通沪深300指数增强C,2019-04-20 00:00:00,2019-03-31 00:00:00,33549772.99,10057543.69,41782727.98,1824588.7,2019,基金定期报告
004513,海富通沪深300指数增强A,2019-04-20 00:00:00,2019-03-31 00:00:00,14668383.64,126091.89,3370533.47,11423942.06,2019,基金定期报告
004596,中科沃土沃安中短期利率债债券A,2019-04-18 00:00:00,2019-03-31 00:00:00,47337780.96,21136400.57,4148542.13,64325639.4,2019,基金定期报告
004632,平安合意定期开放债券,2019-04-19 00:00:00,2019-03-31 00:00:00,209999000.0,0.0,0.0,209999000.0,2019,基金定期报告
004672,华夏短债债券A,2019-04-20 00:00:00,2019-03-31 00:00:00,49997738.09,50290545.18,63322963.98,36965319.29,2019,基金定期报告
004673,华夏短债债券C,2019-04-20 00:00:00,2019-03-31 00:00:00,9136097.63,7162717.21,5181988.88,11116825.96,2019,基金定期报告
004736,富国鼎利纯债三个月定期开放债券,2019-04-22 00:00:00,2019-03-31 00:00:00,201513932.78,0.0,0.0,201513932.78,2019,基金定期报告
004740,中欧瑞丰灵活配置混合(LOF)C,2019-04-18 00:00:00,2019-03-31 00:00:00,6298662.8,0.0,0.0,6298662.8,2019,基金定期报告
004788,富荣沪深300指数增强A,2019-04-20 00:00:00,2019-03-31 00:00:00,70918.32,105592.79,10324.45,166186.66,2019,基金定期报告
004789,富荣沪深300指数增强C,2019-04-20 00:00:00,2019-03-31 00:00:00,19000000.0,8453.64,2632.05,19005821.59,2019,基金定期报告
004790,富荣中证500指数增强A,2019-04-20 00:00:00,2019-03-31 00:00:00,77780.32,799108.93,154176.48,722712.77,2019,基金定期报告
004791,富荣中证500指数增强C,2019-04-20 00:00:00,2019-03-31 00:00:00,14000000.0,2832.51,0.0,14002832.51,2019,基金定期报告
004827,平安中短债债券A,2019-04-19 00:00:00,2019-03-31 00:00:00,11529428.5,1012579995.48,362181547.84,661927876.14,2019,基金定期报告
004828,平安中短债债券C,2019-04-19 00:00:00,2019-03-31 00:00:00,62499813.19,28746678.27,37208288.6,54038202.86,2019,基金定期报告
004839,银华安颐中短债双月持有期债券A,2019-04-18 00:00:00,2019-03-31 00:00:00,19958802965.19,168494734.83,1785686231.43,18341611468.59,2019,基金定期报告
004897,长安泓源纯债债券A,2019-04-20 00:00:00,2019-03-31 00:00:00,3001083.44,110857.69,1297595.03,1814346.1,2019,基金定期报告
004898,长安泓源纯债债券C,2019-04-20 00:00:00,2019-03-31 00:00:00,19492348.73,28741564.39,38320589.81,9913323.31,2019,基金定期报告
004907,长安泓沣中短债债券A,2019-04-20 00:00:00,2019-03-31 00:00:00,2333737.32,144436.28,672815.66,1805357.94,2019,基金定期报告
004908,长安泓沣中短债债券C,2019-04-20 00:00:00,2019-03-31 00:00:00,26135098.31,23163471.18,41096038.73,8202530.76,2019,基金定期报告
004954,中银证券中高等级债券A,2019-04-18 00:00:00,2019-03-31 00:00:00,972694692.58,303944.79,132596627.78,840402009.59,2019,基金定期报告
004955,中银证券中高等级债券C,2019-04-18 00:00:00,2019-03-31 00:00:00,72570069.51,575502.59,38671911.88,34473660.22,2019,基金定期报告
004978,富国聚利纯债三个月定期开放债券,2019-04-22 00:00:00,2019-03-31 00:00:00,935496529.38,0.0,0.0,935496529.38,2019,基金定期报告
005047,南华瑞扬纯债债券A,2019-04-19 00:00:00,2019-03-31 00:00:00,4787316.16,21783.46,1101075.96,3708023.66,2019,基金定期报告
005048,南华瑞扬纯债债券C,2019-04-19 00:00:00,2019-03-31 00:00:00,3028397.63,244580.58,1270.0,3271708.21,2019,基金定期报告
