基金代码,基金简称,持仓日期,股票代码,股票名称,数量,市值,市值占基金资产净值比,第N大重仓股,所在证券市场,所属国家(地区),报告类型
008841,德邦大消费混合C,20210630,688092,爱科科技,1137.0,37759.77,0.0002,58,上海证券交易所,中华人民共和国,年报(含半年报)
515120,广发中证创新药产业ETF,20201225,300347,泰格医药,413593.0,68863234.5,0.0415,5,深圳证券交易所,中华人民共和国,其他
010225,东方红启航三年持有期混合B,20211231,002142,宁波银行,1365841.0,52284393.48,0.0183,25,深圳证券交易所,中华人民共和国,年报(含半年报)
159990,银华巨潮小盘价值ETF,20201231,000623,吉林敖东,35100.0,578097.0,0.0119,7,深圳证券交易所,中华人民共和国,年报(含半年报)
009913,中信保诚成长动力混合A,20211231,300854,中兰环保,203.0,5539.87,0.0,141,深圳证券交易所,中华人民共和国,年报(含半年报)
008909,创金合信鑫益混合A,20200630,603160,汇顶科技,7574.0,1688244.6,0.0073,36,上海证券交易所,中华人民共和国,年报(含半年报)
007770,同泰开泰混合A,20200630,002497,雅化集团,248800.0,2296424.0,0.0193,18,深圳证券交易所,中华人民共和国,年报(含半年报)
006687,方正富邦深证100ETF联接A,20210630,002236,大华股份,2600.0,54860.0,0.0001,62,深圳证券交易所,中华人民共和国,年报(含半年报)
008671,银华科技创新混合,20201231,002410,广联达,634105.0,49929427.7,0.0917,1,深圳证券交易所,中华人民共和国,年报(含半年报)
008036,蜂巢恒利债券C,20211231,601336,新华保险,1000.0,38880.0,0.0001,130,上海证券交易所,中华人民共和国,年报(含半年报)
009187,天弘聚新三个月定期开放混合C,20201231,600519,贵州茅台,2900.0,5794200.0,0.0111,4,上海证券交易所,中华人民共和国,季报
007811,淳厚信泽灵活配置混合A,20210630,688586,江航装备,70000.0,1951600.0,0.0051,43,上海证券交易所,中华人民共和国,年报(含半年报)
000961,天弘沪深300ETF联接A,20191208,603501,韦尔股份,7100.0,1028790.0,0.0002,1,上海证券交易所,中华人民共和国,季报
009863,富国创新趋势股票,20210630,688036,传音控股,1664271.0,348664774.5,0.0348,11,上海证券交易所,中华人民共和国,年报(含半年报)
003980,中银证券瑞益灵活配置混合A,20190331,002568,百润股份,186800.0,2744092.0,0.043,3,深圳证券交易所,中华人民共和国,季报
005761,招商MSCI中国A股国际通ETF联接A,20190630,300142,沃森生物,161000.0,4565960.0,0.0019,132,深圳证券交易所,中华人民共和国,年报(含半年报)
007307,华泰柏瑞基本面智选混合C,20200630,300839,博汇股份,251.0,5875.91,0.0002,48,深圳证券交易所,中华人民共和国,年报(含半年报)
007939,华夏网购精选灵活配置混合C,20210630,300982,苏文电能,317.0,14356.93,0.0,156,深圳证券交易所,中华人民共和国,年报(含半年报)
002458,国泰民利策略收益灵活配置混合,20211231,301179,泽宇智能,295.0,14977.15,0.0,68,深圳证券交易所,中华人民共和国,年报(含半年报)
009260,民生加银聚利6个月持有期混合A,20210630,000661,长春高新,9400.0,3637800.0,0.0026,30,深圳证券交易所,中华人民共和国,年报(含半年报)
501091,嘉实欣荣混合(LOF)A,20201231,300889,爱克股份,486.0,14648.05,0.0,78,深圳证券交易所,中华人民共和国,年报(含半年报)
009624,安信稳健阿尔法定期开放混合C,20211231,301083,百胜智能,416.0,5911.36,0.0,558,深圳证券交易所,中华人民共和国,年报(含半年报)
009381,汇安核心资产混合A,20210630,301012,扬电科技,1691.0,56994.16,0.0001,88,深圳证券交易所,中华人民共和国,年报(含半年报)
009031,工银瑞信聚和一年定期开放混合A,20201231,688063,派能科技,4511.0,1166634.82,0.0017,38,上海证券交易所,中华人民共和国,年报(含半年报)
009152,南方瑞盛三年持有期混合A,20210630,09922,九毛九,327000.0,8638862.58,0.0051,51,中国香港证券交易所,中国香港特别行政区,年报(含半年报)
006769,长城研究精选混合A,20211231,301025,读客文化,403.0,8414.64,0.0,158,深圳证券交易所,中华人民共和国,年报(含半年报)
010229,平安鼎弘混合(LOF)D,20210630,002601,龙佰集团,300.0,10374.0,0.0006,58,深圳证券交易所,中华人民共和国,年报(含半年报)
010228,平安鼎弘混合(LOF)C,20210630,002709,天赐材料,250.0,26645.0,0.0015,33,深圳证券交易所,中华人民共和国,年报(含半年报)
008835,富国量化对冲策略三个月持有期灵活配置混合A,20210630,688226,威腾电气,2693.0,17289.06,0.0,235,上海证券交易所,中华人民共和国,年报(含半年报)
007132,长城港股通价值精选多策略混合A,20211231,02331,李宁,30000.0,2093464.8,0.0167,15,中国香港证券交易所,中国香港特别行政区,年报(含半年报)
008795,海富通阿尔法对冲混合C,20211231,002444,巨星科技,156400.0,4771764.0,0.001,180,深圳证券交易所,中华人民共和国,年报(含半年报)
009681,南方创新精选一年定期开放混合A,20210630,836675,秉扬科技,477163.0,6608707.55,0.0022,36,股份转让市场(三板市场),中华人民共和国,年报(含半年报)
010045,汇添富稳健添盈一年持有期混合,20211231,688161,威高骨科,3069.0,195556.68,0.0,43,上海证券交易所,中华人民共和国,年报(含半年报)
008246,圆信永丰致优混合C,20211231,600483,福能股份,700000.0,11396000.0,0.0106,25,上海证券交易所,中华人民共和国,年报(含半年报)
009382,汇安核心资产混合C,20210630,301017,漱玉平民,5550.0,49173.0,0.0001,95,深圳证券交易所,中华人民共和国,年报(含半年报)
159999,永赢中证500ETF,20201231,600497,驰宏锌锗,39700.0,190560.0,0.0026,96,上海证券交易所,中华人民共和国,年报(含半年报)
515810,易方达中证800ETF,20201231,600118,中国卫星,2200.0,70796.0,0.0007,305,上海证券交易所,中华人民共和国,年报(含半年报)
007307,华泰柏瑞基本面智选混合C,20210630,300015,爱尔眼科,2593.0,184051.14,0.0008,19,深圳证券交易所,中华人民共和国,年报(含半年报)
006976,鹏华核心优势混合A,20211231,300950,德固特,219.0,9143.25,0.0,148,深圳证券交易所,中华人民共和国,年报(含半年报)
006739,工银瑞信添慧债券C,20201231,000858,五粮液,2700.0,787995.0,0.0066,8,深圳证券交易所,中华人民共和国,年报(含半年报)
008712,景顺长城品质成长混合A,20201231,300892,品渥食品,272.0,16322.72,0.0,76,深圳证券交易所,中华人民共和国,年报(含半年报)
007882,易方达证券保险ETF联接C,20200331,601916,浙商银行,294195.0,1167954.15,0.0008,3,上海证券交易所,中华人民共和国,季报
006013,易方达鑫转招利混合A,20210630,600900,长江电力,105800.0,2183712.0,0.0023,37,上海证券交易所,中华人民共和国,年报(含半年报)
007799,申万菱信中小企业100指数(LOF)C,20210630,002230,科大讯飞,65640.0,4435951.2,0.0279,7,深圳证券交易所,中华人民共和国,季报
007726,招商瑞文混合C,20210630,301010,晶雪节能,218.0,3838.98,0.0,103,深圳证券交易所,中华人民共和国,年报(含半年报)
011143,创金合信新材料新能源股票C,20211231,300982,苏文电能,317.0,23328.03,0.0,85,深圳证券交易所,中华人民共和国,年报(含半年报)
009764,惠升和悦债券C,20210630,01801,信达生物,335000.0,25240522.74,0.007,6,中国香港证券交易所,中国香港特别行政区,季报
009114,鹏扬景泓回报灵活配置混合A,20211231,301050,雷电微力,29380.0,7161505.2,0.026,15,深圳证券交易所,中华人民共和国,年报(含半年报)
008954,安信价值回报三年持有期混合A,20211231,301082,久盛电气,915.0,19699.95,0.0,81,深圳证券交易所,中华人民共和国,年报(含半年报)
007401,浦银安盛颐和稳健养老目标一年持有期混合(FOF)A,20210930,600111,北方稀土,578367.0,25604307.09,0.0047,5,上海证券交易所,中华人民共和国,季报
860029,光大阳光对冲策略6个月持有期灵活配置混合C,20211231,600418,江淮汽车,2000.0,34800.0,0.0001,341,上海证券交易所,中华人民共和国,年报(含半年报)
008271,大成优势企业混合A,20210630,300922,天秦装备,287.0,9996.21,0.0,141,深圳证券交易所,中华人民共和国,年报(含半年报)
007063,长盛研发回报混合,20211231,301087,可孚医疗,199.0,15181.09,0.0001,80,深圳证券交易所,中华人民共和国,年报(含半年报)
010432,广发国证2000ETF联接C,20210630,002389,航天彩虹,300.0,6549.0,0.0001,121,深圳证券交易所,中华人民共和国,年报(含半年报)
006234,万家汽车新趋势混合C,20200630,300843,胜蓝股份,751.0,7517.51,0.0,45,深圳证券交易所,中华人民共和国,年报(含半年报)
009108,富国红利精选混合(QDII),20211231,03690,美团-W,160000.0,29485926.4,0.0364,2,中国香港证券交易所,中国香港特别行政区,年报(含半年报)
010739,大成优选升级一年持有期混合C,20211231,02500,启明医疗-B,30000.0,726028.8,0.0015,20,中国香港证券交易所,中国香港特别行政区,年报(含半年报)
002456,招商安元灵活配置混合A,20211231,600030,中信证券,151100.0,3990551.0,0.0081,10,上海证券交易所,中华人民共和国,年报(含半年报)
009883,华润元大核心动力混合C,20211231,300223,北京君正,15000.0,2010000.0,0.0641,4,深圳证券交易所,中华人民共和国,年报(含半年报)
007966,民生加银品质消费股票C,20200930,300122,智飞生物,21600.0,3009096.0,0.0351,8,深圳证券交易所,中华人民共和国,季报
008119,鹏华金享混合,20211231,301066,万事利,344.0,7856.96,0.0,110,深圳证券交易所,中华人民共和国,年报(含半年报)
515020,华夏中证银行ETF,20200630,600919,江苏银行,725000.0,4110750.0,0.0252,14,上海证券交易所,中华人民共和国,年报(含半年报)
009951,广发稳健回报混合A,20201231,300408,三环集团,9467300.0,343587157.8,0.0244,5,深圳证券交易所,中华人民共和国,季报
009856,中加新兴成长混合C,20201231,002271,东方雨虹,4000.0,155200.0,0.0012,42,深圳证券交易所,中华人民共和国,年报(含半年报)
009120,广发品质回报混合C,20211231,301082,久盛电气,915.0,19699.95,0.0,37,深圳证券交易所,中华人民共和国,年报(含半年报)
009846,富兰克林国海港股通远见价值混合A,20211231,01999,敏华控股,5800000.0,57284326.4,0.0326,3,中国香港证券交易所,中国香港特别行政区,年报(含半年报)
008891,安信价值成长混合A,20210630,301011,华立科技,175.0,5922.0,0.0,105,深圳证券交易所,中华人民共和国,年报(含半年报)
009149,富国绝对收益多策略定期开放混合C,20210930,300059,东方财富,462428.0,15893650.36,0.0184,4,深圳证券交易所,中华人民共和国,季报
004695,东兴未来价值灵活配置混合A,20210630,600872,中炬高新,1400.0,58828.0,0.0064,25,上海证券交易所,中华人民共和国,年报(含半年报)
010186,嘉实核心成长混合A,20211231,301136,招标股份,7172.0,75449.44,0.0,59,深圳证券交易所,中华人民共和国,年报(含半年报)
009734,创金合信港股通大消费精选股票C,20210331,600519,贵州茅台,300.0,602700.0,0.0465,8,上海证券交易所,中华人民共和国,季报
004557,北信瑞丰鼎丰灵活配置混合,20201231,600760,中航沈飞,5000.0,390900.0,0.0142,16,上海证券交易所,中华人民共和国,年报(含半年报)
010453,广发瑞福精选混合C,20210630,605011,杭州热电,525.0,4662.0,0.0,89,上海证券交易所,中华人民共和国,年报(含半年报)
580008,东吴新产业精选股票A,20201231,300869,康泰医学,862.0,95578.56,0.0002,29,深圳证券交易所,中华人民共和国,年报(含半年报)
007326,国投瑞银新增长灵活配置混合C,20211231,600690,海尔智家,153900.0,4600071.0,0.0071,18,上海证券交易所,中华人民共和国,年报(含半年报)
009918,上银核心成长混合A,20211231,605080,浙江自然,1000.0,74800.0,0.0041,76,上海证券交易所,中华人民共和国,年报(含半年报)
006973,太平睿盈混合A,20201231,603195,公牛集团,10000.0,2052900.0,0.0035,33,上海证券交易所,中华人民共和国,年报(含半年报)
008918,长信先锐混合C,20200930,600276,恒瑞医药,72400.0,6502968.0,0.0088,3,上海证券交易所,中华人民共和国,季报
006364,招商丰韵混合A,20210630,002541,鸿路钢构,848300.0,49498305.0,0.0454,5,深圳证券交易所,中华人民共和国,季报
011143,创金合信新材料新能源股票C,20210630,688239,航宇科技,4926.0,56550.48,0.0001,59,上海证券交易所,中华人民共和国,年报(含半年报)
159983,华夏粤港澳大湾区创新100ETF,20200930,00700,腾讯控股,24200.0,10877059.78,0.0978,1,中国香港证券交易所,中国香港特别行政区,季报
007469,中信建投策略精选混合C,20211231,301088,戎美股份,161.0,3971.87,0.0,161,深圳证券交易所,中华人民共和国,年报(含半年报)
009822,鹏华招华一年持有期混合A,20211231,301066,万事利,344.0,7856.96,0.0,154,深圳证券交易所,中华人民共和国,年报(含半年报)
515900,博时中证央企创新驱动ETF,20200630,601718,际华集团,6728200.0,22337624.0,0.002,81,上海证券交易所,中华人民共和国,年报(含半年报)
952035,国泰君安君得诚混合,20201231,00700,腾讯控股,50708.0,24070324.95,0.0191,17,中国香港证券交易所,中国香港特别行政区,年报(含半年报)
169103,东方红睿轩三年定期开放灵活配置混合,20191231,000333,美的集团,4612620.0,268685115.0,0.0698,2,深圳证券交易所,中华人民共和国,年报(含半年报)
007217,浙商智能行业优选混合C,20210630,688680,海优新材,2795.0,718315.0,0.0006,88,上海证券交易所,中华人民共和国,年报(含半年报)
006608,泓德研究优选混合,20210630,301004,嘉益股份,312.0,6845.28,0.0,120,深圳证券交易所,中华人民共和国,年报(含半年报)
010489,鹏华优选成长混合C,20210630,002851,麦格米特,973650.0,30407089.5,0.0057,28,深圳证券交易所,中华人民共和国,年报(含半年报)
009414,中银大健康股票A,20211231,688016,心脉医疗,14044.0,3493304.56,0.0088,33,上海证券交易所,中华人民共和国,年报(含半年报)
007083,平安高端制造混合C,20210630,688660,电气风电,51238.0,371987.88,0.0002,55,上海证券交易所,中华人民共和国,年报(含半年报)
007686,东方价值挖掘灵活配置混合C,20211231,002841,视源股份,17000.0,1383800.0,0.0032,45,深圳证券交易所,中华人民共和国,年报(含半年报)
006930,泰康中证港股通TMT主题指数A,20191231,00799,IGG,24000.0,123617.64,0.0029,34,中国香港证券交易所,中国香港特别行政区,年报(含半年报)
952024,国泰君安君得盛债券A,20200630,300450,先导智能,82300.0,3803083.0,0.004,11,深圳证券交易所,中华人民共和国,年报(含半年报)
009710,诺德新盛灵活配置混合C,20211231,000681,视觉中国,4000.0,95600.0,0.0126,16,深圳证券交易所,中华人民共和国,年报(含半年报)
515030,华夏中证新能源汽车ETF,20211231,300769,德方纳米,266512.0,130900033.92,0.0137,23,深圳证券交易所,中华人民共和国,年报(含半年报)
515390,华安沪深300ETF,20200630,000333,美的集团,43977.0,2629384.83,0.0183,6,深圳证券交易所,中华人民共和国,年报(含半年报)
007775,汇安量化先锋混合A,20201231,003030,祖名股份,360.0,5464.8,0.0001,54,深圳证券交易所,中华人民共和国,年报(含半年报)
515550,国联中证500ETF,20211231,000932,华菱钢铁,16200.0,82782.0,0.0028,77,深圳证券交易所,中华人民共和国,年报(含半年报)
008842,同泰远见灵活配置混合A,20210630,300950,德固特,219.0,8569.47,0.0001,48,深圳证券交易所,中华人民共和国,年报(含半年报)
010776,博时恒旭一年持有期混合C,20211231,002709,天赐材料,126300.0,14480295.0,0.0072,3,深圳证券交易所,中华人民共和国,季报
515810,易方达中证800ETF,20211231,300257,开山股份,1100.0,17468.0,0.0002,721,深圳证券交易所,中华人民共和国,年报(含半年报)
010300,南方产业升级混合C,20211231,600383,金地集团,2184600.0,28334262.0,0.0114,28,上海证券交易所,中华人民共和国,年报(含半年报)
010211,景顺长城顺鑫回报混合A,20201231,601318,中国平安,63800.0,5549324.0,0.0071,3,上海证券交易所,中华人民共和国,季报
006435,景顺长城创新成长混合,20211231,688696,极米科技,194878.0,107572656.0,0.0227,17,上海证券交易所,中华人民共和国,年报(含半年报)
002622,广发稳裕混合A,20201231,000333,美的集团,154700.0,15228668.0,0.0205,1,深圳证券交易所,中华人民共和国,季报
006123,国联高股息精选混合A,20211231,002025,航天电器,5300.0,444935.0,0.006,32,深圳证券交易所,中华人民共和国,年报(含半年报)
008527,华泰柏瑞行业精选混合C,20210930,300750,宁德时代,17300.0,9095129.0,0.0903,1,深圳证券交易所,中华人民共和国,季报
510100,易方达上证50ETF,20200930,600519,贵州茅台,27600.0,46050600.0,0.1247,1,上海证券交易所,中华人民共和国,季报
009818,红塔红土稳健精选混合C,20210331,000858,五粮液,23300.0,6243934.0,0.0185,2,深圳证券交易所,中华人民共和国,季报
009030,工银瑞信高质量成长混合C,20210331,00700,腾讯控股,552785.0,284993834.6,0.0909,1,中国香港证券交易所,中国香港特别行政区,季报
009426,鹏扬景惠六个月持有期混合A,20211231,301198,喜悦智行,262.0,7650.4,0.0,89,深圳证券交易所,中华人民共和国,年报(含半年报)
009354,浙商科技创新一个月滚动持有混合C,20210630,001207,联科科技,682.0,22581.02,0.0001,50,深圳证券交易所,中华人民共和国,年报(含半年报)
008328,诺安新兴产业混合,20201231,600519,贵州茅台,23203.0,46359594.0,0.059,6,上海证券交易所,中华人民共和国,季报
005855,中科沃土沃瑞灵活配置混合A,20191231,688363,华熙生物,4400.0,366960.0,0.0242,21,上海证券交易所,中华人民共和国,年报(含半年报)
009918,上银核心成长混合A,20211231,600519,贵州茅台,200.0,410000.0,0.0222,1,上海证券交易所,中华人民共和国,季报
010011,景顺长城景颐招利6个月持有期债券A,20210331,000902,新洋丰,223600.0,3977844.0,0.0067,5,深圳证券交易所,中华人民共和国,季报
010450,广发恒悦债券C,20210630,601006,大秦铁路,500000.0,3290000.0,0.0023,35,上海证券交易所,中华人民共和国,年报(含半年报)
000006,西部利得量化成长混合A,20200630,600597,光明乳业,90000.0,1337400.0,0.0033,160,上海证券交易所,中华人民共和国,年报(含半年报)
920926,中金汇越量化对冲策略3个月定期开放灵活配置混合C,20210630,603899,晨光股份,500.0,42280.0,0.0008,149,上海证券交易所,中华人民共和国,年报(含半年报)
009970,财通内需增长12个月定期开放混合,20211231,601456,国联证券,8912656.0,119875223.2,0.0505,1,上海证券交易所,中华人民共和国,年报(含半年报)
009661,平安研究睿选混合A,20211231,301199,迈赫股份,402.0,12864.0,0.0,85,深圳证券交易所,中华人民共和国,年报(含半年报)
008408,恒生前海恒生沪深港通细分行业龙头指数C,20210630,02313,申洲国际,6000.0,979020.0,0.0116,27,中国香港证券交易所,中国香港特别行政区,年报(含半年报)
160528,博时研究优选灵活配置混合(LOF)C,20210630,600031,三一重工,3999903.0,116277180.21,0.047,9,上海证券交易所,中华人民共和国,年报(含半年报)
008150,嘉实远见企业精选两年持有期混合,20210630,002568,百润股份,230440.0,21843407.6,0.0106,33,深圳证券交易所,中华人民共和国,年报(含半年报)
010481,汇添富高质量成长精选2年持有期混合,20210630,03347,泰格医药,350000.0,53003496.0,0.0096,3,中国香港证券交易所,中国香港特别行政区,季报
009876,天弘甄选食品饮料股票C,20211231,301079,邵阳液压,140.0,3474.8,0.0,112,深圳证券交易所,中华人民共和国,年报(含半年报)
159983,华夏粤港澳大湾区创新100ETF,20201231,000050,深天马A,12900.0,190146.0,0.0018,76,深圳证券交易所,中华人民共和国,年报(含半年报)
166023,中欧瑞丰灵活配置混合(LOF)A,20191231,600498,烽火通信,1634987.0,44880393.15,0.0291,12,上海证券交易所,中华人民共和国,年报(含半年报)
006689,方正富邦信泓灵活配置混合A,20211231,000301,东方盛虹,19400.0,375196.0,0.0479,8,深圳证券交易所,中华人民共和国,年报(含半年报)
008885,博远博锐混合C,20211231,605369,拱东医疗,8700.0,1246623.0,0.0534,6,上海证券交易所,中华人民共和国,季报
010132,南方创新成长混合A,20211231,301033,迈普医学,108.0,6476.76,0.0,66,深圳证券交易所,中华人民共和国,年报(含半年报)
004218,前海开源裕和混合A,20201231,600690,海尔智家,106000.0,3096260.0,0.0048,16,上海证券交易所,中华人民共和国,年报(含半年报)
010080,中欧优势成长三个月定期开放混合,20201231,002709,天赐材料,642238.0,66664304.4,0.0568,2,深圳证券交易所,中华人民共和国,季报
007523,汇添富内需增长股票A,20211231,002594,比亚迪,30200.0,8097224.0,0.0124,23,深圳证券交易所,中华人民共和国,年报(含半年报)
007493,朱雀产业臻选混合A,20211231,603815,交建股份,2754821.0,21818182.32,0.0033,46,上海证券交易所,中华人民共和国,年报(含半年报)
006392,中信保诚创新成长灵活配置混合A,20210630,688079,美迪凯,8667.0,159472.8,0.0002,41,上海证券交易所,中华人民共和国,年报(含半年报)
005347,诺德量化优选6个月持有期混合,20211231,300955,嘉亨家化,232.0,7625.84,0.0,165,深圳证券交易所,中华人民共和国,年报(含半年报)
006862,招商和悦稳健养老目标一年持有期混合(FOF)C,20191231,000776,广发证券,177000.0,2685090.0,0.0031,20,深圳证券交易所,中华人民共和国,年报(含半年报)
006533,易方达科融混合,20210630,00763,中兴通讯,569200.0,11485283.45,0.021,21,中国香港证券交易所,中国香港特别行政区,年报(含半年报)
860028,光大阳光对冲策略6个月持有期灵活配置混合B,20200630,600956,新天绿能,1387.0,6990.48,0.0,403,上海证券交易所,中华人民共和国,年报(含半年报)
007505,华夏中证AH经济蓝筹股票指数A,20200630,00700,腾讯控股,19200.0,8744470.73,0.1255,1,中国香港证券交易所,中国香港特别行政区,年报(含半年报)
010028,华泰柏瑞创新升级混合C,20211231,600886,国投电力,7514.0,86185.58,0.0,103,上海证券交易所,中华人民共和国,年报(含半年报)
009520,中欧鼎利债券C,20201231,603799,华友钴业,153968.0,12209662.4,0.0107,2,上海证券交易所,中华人民共和国,季报
000961,天弘沪深300ETF联接A,20210630,600809,山西汾酒,4300.0,1926400.0,0.0003,28,上海证券交易所,中华人民共和国,年报(含半年报)
010246,华泰柏瑞量化先行混合C,20210331,300740,水羊股份,282267.0,6542949.06,0.0097,7,深圳证券交易所,中华人民共和国,季报
009879,平安低碳经济混合C,20210630,301002,崧盛股份,2001.0,159001.62,0.0,67,深圳证券交易所,中华人民共和国,年报(含半年报)
006881,华宝大健康混合A,20200630,000661,长春高新,33264.0,14479819.2,0.0802,1,深圳证券交易所,中华人民共和国,年报(含半年报)
008246,圆信永丰致优混合C,20211231,301100,风光股份,599.0,20707.43,0.0,115,深圳证券交易所,中华人民共和国,年报(含半年报)
007288,合煦智远消费主题股票C,20201231,000895,双汇发展,36900.0,1732086.0,0.0694,7,深圳证券交易所,中华人民共和国,季报
009873,中欧责任投资混合C,20210630,300967,晓鸣股份,561.0,6749.88,0.0,137,深圳证券交易所,中华人民共和国,年报(含半年报)
159968,博时中证500ETF,20211231,000738,航发控制,54600.0,1653288.0,0.0027,101,深圳证券交易所,中华人民共和国,年报(含半年报)
007412,景顺长城绩优成长混合A,20200630,300846,首都在线,1131.0,3811.47,0.0,53,深圳证券交易所,中华人民共和国,年报(含半年报)
010246,华泰柏瑞量化先行混合C,20210630,603363,傲农生物,241690.0,2489407.0,0.0029,124,上海证券交易所,中华人民共和国,年报(含半年报)
008480,永赢股息优选混合A,20200630,600055,万东医疗,2000089.0,32021424.89,0.0503,7,上海证券交易所,中华人民共和国,季报
006861,招商和悦稳健养老目标一年持有期混合(FOF)A,20191231,300207,欣旺达,238200.0,4649664.0,0.0053,10,深圳证券交易所,中华人民共和国,年报(含半年报)
000962,天弘中证500ETF联接A,20190630,600549,厦门钨业,419500.0,6003045.0,0.003,66,上海证券交易所,中华人民共和国,年报(含半年报)
007993,华夏中证全指证券公司ETF联接C,20201231,601108,财通证券,1800.0,22770.0,0.0001,13,上海证券交易所,中华人民共和国,年报(含半年报)
008795,海富通阿尔法对冲混合C,20211231,301118,恒光股份,315.0,15441.3,0.0,521,深圳证券交易所,中华人民共和国,年报(含半年报)
009511,信澳研究优选混合A,20211231,002335,科华数据,14021.0,509803.56,0.0004,308,深圳证券交易所,中华人民共和国,年报(含半年报)
008283,易方达金融行业股票A,20211231,301118,恒光股份,315.0,15441.3,0.0,45,深圳证券交易所,中华人民共和国,年报(含半年报)
159965,国联央视财经50ETF,20211231,600600,青岛啤酒,6100.0,603900.0,0.0074,36,上海证券交易所,中华人民共和国,年报(含半年报)
008075,招商核心优选股票A,20211231,002001,新和成,579980.0,18048977.6,0.0279,17,深圳证券交易所,中华人民共和国,年报(含半年报)
007523,汇添富内需增长股票A,20211231,000596,古井贡酒,12300.0,3001200.0,0.0046,42,深圳证券交易所,中华人民共和国,年报(含半年报)
004907,长安泓沣中短债债券A,20190331,000001,平安银行,40000.0,512800.0,0.0443,3,深圳证券交易所,中华人民共和国,季报
007491,南方信息创新混合C,20191231,300136,信维通信,1490500.0,67638890.0,0.0393,4,深圳证券交易所,中华人民共和国,季报
162907,泰信中证锐联基本面400指数(LOF),20191231,601128,常熟银行,13641.0,124269.51,0.0027,121,上海证券交易所,中华人民共和国,年报(含半年报)
008127,广发趋势优选灵活配置混合C,20210630,301009,可靠股份,801.0,22339.89,0.0,86,深圳证券交易所,中华人民共和国,年报(含半年报)
007067,浦银安盛先进制造混合C,20210630,688425,铁建重工,70617.0,432176.04,0.0008,22,上海证券交易所,中华人民共和国,年报(含半年报)
159973,弘毅远方国证民企领先100ETF,20201231,002120,韵达股份,118225.0,1856132.5,0.0026,92,深圳证券交易所,中华人民共和国,年报(含半年报)
006868,华夏科技成长股票,20210630,688630,芯碁微装,3397.0,198452.74,0.0002,38,上海证券交易所,中华人民共和国,年报(含半年报)
