股票代码,交易日,昨收盘(元),今开盘(元),最高价(元),最低价(元),收盘价(元),成交量(股),成交金额(元)
497 HK,20190125,0.37,0.37,0.375,0.36,0.36,3060000.0,1122350.0
08230,20190104,0.25,0.25,0.25,0.25,0.25,0.0,0.0
00602,20190114,0.27,0.27,0.27,0.27,0.27,0.0,0.0
00404,20190110,0.35,0.35,0.35,0.35,0.35,0.0,0.0
01750,20190123,0.234,0.231,0.238,0.231,0.237,3570000.0,847880.0
947 HK,20190109,1.13,1.14,1.2,1.08,1.09,12439000.0,14343060.0
817 HK,20190103,3.37,3.37,3.44,3.33,3.37,18564281.0,62605645.0
02359,20190116,67.6,67.7,67.8,66.85,67.5,25000.0,1690390.0
00068,20190130,5.5,5.5,5.5,5.5,5.5,0.0,0.0
01298,20190128,3.15,3.03,3.05,3.0,3.05,12000.0,36330.0
02112,20190103,1.5,1.5,1.5,1.47,1.48,16000.0,23700.0
01170,20190131,1.66,1.64,1.66,1.63,1.66,488000.0,805320.0
00816,20190109,1.8,1.8,1.81,1.75,1.8,6036000.0,10758140.0
01275,20190121,1.79,1.85,1.85,1.85,1.85,3000.0,5550.0
01749,20190104,1.38,1.38,1.38,1.38,1.38,129000.0,178020.0
01743,20190109,15.38,15.38,15.64,15.24,15.62,418167.0,6487376.0
01065,20190111,3.03,3.03,3.05,3.01,3.05,284000.0,861200.0
00763,20190108,14.9,14.96,15.38,14.76,15.28,11821216.0,180081638.0
480 HK,20190123,3.74,3.74,3.76,3.73,3.75,424000.0,1590136.0
08400,20190116,0.142,0.142,0.155,0.14,0.154,2200000.0,325220.0
2083 HK,20190115,1.53,1.53,1.55,1.53,1.55,7254000.0,11233840.0
708 HK,20190104,12.52,12.4,14.0,12.4,13.88,13910000.0,187978091.0
01884,20190121,0.45,0.47,0.48,0.47,0.48,300000.0,143260.0
06098,20190128,11.9,12.0,12.1,11.82,11.92,12744561.0,152290182.0
00574,20190108,0.52,0.52,0.52,0.5,0.51,16892000.0,8656480.0
877 HK,20190122,3.54,3.56,3.56,3.46,3.5,163574.0,571790.0
00927,20190117,1.3,1.3,1.3,1.3,1.3,0.0,0.0
00705,20190104,0.032,0.032,0.032,0.032,0.032,0.0,0.0
00859,20190123,0.99,0.99,0.99,0.97,0.97,74000.0,72420.0
01229,20190124,0.249,0.247,0.247,0.247,0.247,191.0,39.0
3332 HK,20190130,0.375,0.385,0.385,0.365,0.365,119000.0,45440.0
00217,20190128,0.184,0.176,0.192,0.176,0.19,1196000.0,224844.0
01282,20190108,0.395,0.4,0.4,0.395,0.395,29524000.0,11663160.0
00114,20190110,0.71,0.71,0.71,0.71,0.71,0.0,0.0
06033,20190117,2.57,2.57,2.57,2.57,2.57,0.0,0.0
1555 HK,20190111,0.061,0.064,0.072,0.064,0.065,2634000.0,181182.0
01823,20190121,0.66,0.67,0.67,0.67,0.67,4000.0,2680.0
00591,20190122,1.22,1.22,1.22,1.22,1.22,0.0,0.0
00629,20190107,0.445,0.445,0.445,0.445,0.445,0.0,0.0
1628 HK,20190102,3.23,3.23,3.24,3.13,3.14,4264573.0,13478845.0
00050,20190117,8.27,8.3,8.34,8.25,8.27,65000.0,539410.0
00554,20190128,0.223,0.22,0.225,0.216,0.225,386000.0,85430.0
01262,20190108,0.5,0.51,0.54,0.49,0.51,373000.0,189260.0
1972 HK,20190121,28.4,28.2,28.8,28.15,28.8,2325534.0,66624646.0
08439,20190104,1.44,1.48,1.5,1.46,1.5,20000.0,29480.0
08207,20190115,0.097,0.1,0.1,0.095,0.098,23692000.0,2285020.0
00848,20190121,0.54,0.54,0.55,0.54,0.55,789000.0,433250.0
187 HK,20190121,1.43,1.44,1.45,1.43,1.45,52000.0,74780.0
01668,20190124,1.14,1.13,1.15,1.13,1.15,3320000.0,3807660.0
00981,20190109,6.32,6.38,6.6,6.38,6.53,58751092.0,379591721.0
01835,20190116,5.02,5.05,5.07,5.02,5.02,443600.0,2233840.0
01668,20190129,1.14,1.14,1.15,1.12,1.15,9788000.0,11108190.0
00789,20190104,0.1,0.1,0.1,0.1,0.1,0.0,0.0
00288,20190118,6.67,6.77,6.81,6.64,6.68,18362724.0,122927132.0
00348,20190103,0.061,0.059,0.064,0.058,0.058,6594080.0,388755.0
06889,20190121,9.68,9.71,9.78,9.64,9.72,297800.0,2892032.0
00967,20190103,2.98,2.98,2.98,2.98,2.98,0.0,0.0
08217,20190111,0.109,0.105,0.111,0.1,0.11,1660000.0,176060.0
00392,20190103,40.25,40.55,40.55,39.0,39.2,2062665.0,81467646.0
00036,20190103,0.39,0.38,0.38,0.38,0.38,60000.0,22800.0
01166,20190123,0.073,0.07,0.071,0.067,0.07,9041000.0,621264.0
06108,20190129,0.425,0.425,0.425,0.425,0.425,0.0,0.0
08076,20190118,0.136,0.136,0.136,0.136,0.136,0.0,0.0
08021,20190125,0.039,0.038,0.038,0.037,0.037,2729000.0,102798.0
00238,20190123,0.47,0.46,0.465,0.45,0.46,65000.0,29660.0
03968,20190118,31.0,31.2,31.5,30.9,31.0,17434371.0,542437697.0
00735,20190121,2.61,2.64,2.65,2.62,2.63,339500.0,894790.0
00586,20190109,22.4,22.85,22.95,22.5,22.65,2263340.0,51433838.0
316 HK,20190115,53.85,53.8,53.8,53.7,53.8,2500.0,134450.0
03823,20190128,0.068,0.068,0.068,0.068,0.068,0.0,0.0
01663,20190121,0.2,0.201,0.204,0.195,0.203,7648000.0,1547290.0
02014,20190109,1.74,1.73,1.75,1.72,1.74,419000.0,725250.0
708 HK,20190118,15.12,15.0,15.0,14.26,14.62,9388000.0,136116000.0
00188,20190128,0.058,0.057,0.059,0.057,0.059,2220000.0,128760.0
00103,20190107,0.173,0.17,0.17,0.17,0.17,20000.0,3402.0
2328 HK,20190117,8.36,8.29,8.47,8.28,8.3,25577760.0,214072906.0
1138 HK,20190128,4.32,4.34,4.34,4.22,4.28,1762000.0,7515820.0
01049,20190123,0.135,0.132,0.135,0.13,0.13,341140.0,44948.0
00975,20190123,0.135,0.141,0.142,0.138,0.14,2709000.0,379428.0
02326,20190129,0.03,0.031,0.032,0.03,0.03,6250000.0,193080.0
01191,20190129,0.149,0.148,0.149,0.148,0.148,1480000.0,219120.0
08475,20190123,0.206,0.204,0.206,0.204,0.207,30000.0,6170.0
558 HK,20190104,0.54,0.54,0.57,0.52,0.55,542500.0,294875.0
08013,20190114,0.192,0.186,0.191,0.185,0.186,200000.0,37260.0
02083,20190111,1.55,1.55,1.55,1.53,1.55,1997000.0,3085990.0
00801,20190125,0.81,0.8,0.81,0.8,0.8,52000.0,41640.0
01682,20190124,1.12,1.1,1.11,1.1,1.1,188000.0,209280.0
970 HK,20190118,0.45,0.44,0.47,0.435,0.465,13392000.0,6156920.0
01737,20190117,0.176,0.172,0.175,0.171,0.172,590000.0,101600.0
08412,20190130,0.188,0.188,0.188,0.188,0.188,0.0,0.0
659 HK,20190110,16.32,16.5,16.5,16.02,16.28,3394134.0,55185312.0
00488,20190110,13.08,13.04,13.12,13.0,13.04,340176.0,4442428.0
01238,20190129,3.38,3.31,3.39,3.31,3.39,618000.0,2077580.0
1339 HK,20190114,3.12,3.11,3.13,3.04,3.06,22870054.0,69949586.0
00363,20190109,15.6,15.68,15.9,15.58,15.78,1373428.0,21690125.0
08165,20190107,0.037,0.037,0.037,0.037,0.037,0.0,0.0
1898 HK,20190121,3.29,3.3,3.31,3.25,3.25,5026100.0,16436337.0
00412,20190116,0.3,0.255,0.295,0.255,0.295,240.0,61.0
03878,20190102,2.31,2.21,2.21,2.2,2.2,36000.0,79460.0
02199,20190125,6.22,6.28,6.3,6.23,6.29,1118000.0,6832920.0
01766,20190108,7.85,7.67,8.04,7.67,8.03,37719250.0,301126111.0
00161,20190103,4.15,4.18,4.18,4.15,4.17,252000.0,1050280.0
01722,20190130,0.47,0.47,0.47,0.47,0.47,0.0,0.0
00179,20190109,15.98,15.98,16.22,15.84,15.84,790000.0,12709710.0
00709,20190110,3.7,3.7,3.74,3.7,3.72,636000.0,2363380.0
00853,20190104,6.68,6.67,6.79,6.41,6.66,3252016.0,21540719.0
01227,20190108,0.019,0.02,0.021,0.019,0.021,13766400.0,283164.0
01997,20190122,50.7,50.75,51.8,50.4,51.5,4447652.0,228636910.0
01009,20190115,1.05,1.0,1.04,1.0,1.04,100000.0,100320.0
712 HK,20190118,0.087,0.085,0.085,0.083,0.084,2144000.0,179850.0
762 HK,20190108,8.33,8.39,8.4,8.2,8.29,25800016.0,213636961.0
515 HK,20190128,0.078,0.078,0.078,0.074,0.076,1024000.0,77454.0
00834,20190111,0.47,0.47,0.47,0.47,0.47,0.0,0.0
01676,20190129,0.23,0.23,0.238,0.23,0.234,516000.0,120084.0
06058,20190128,0.65,0.66,0.74,0.66,0.71,1698000.0,1201540.0
00794,20190102,0.77,0.73,0.77,0.73,0.76,96000.0,71360.0
08402,20190117,0.305,0.295,0.295,0.285,0.285,570000.0,165275.0
01183,20190122,1.01,1.01,1.01,0.99,1.0,108000.0,107360.0
01786,20190131,1.91,1.94,2.01,1.91,2.01,5609000.0,11158615.0
1011 HK,20190122,0.79,0.79,0.8,0.79,0.8,453000.0,360850.0
2168 HK,20190111,6.62,6.6,6.64,6.52,6.6,197258.0,1300642.0
1585 H2,20190109,2.92,2.94,2.95,2.86,2.9,1436000.0,4187260.0
2202 HK,20190128,29.8,29.9,30.1,29.05,29.55,7605052.0,224375265.0
01715,20190116,0.29,0.29,0.29,0.285,0.285,170000.0,48700.0
03939,20190125,1.74,1.74,1.74,1.73,1.73,940000.0,1628240.0
107 HK,20190111,2.4,2.39,2.41,2.38,2.41,1640000.0,3926500.0
08226,20190109,0.03,0.03,0.031,0.03,0.03,1468000.0,44048.0
00606,20190116,2.82,2.82,2.86,2.78,2.86,3837114.0,10881964.0
512 HK,20190110,3.4,3.36,3.59,3.36,3.42,2180700.0,7552556.0
08105,20190122,0.46,0.455,0.47,0.43,0.465,3840000.0,1713730.0
01022,20190102,0.325,0.325,0.325,0.28,0.32,33000.0,10005.0
01129,20190123,1.47,1.48,1.52,1.46,1.52,1364000.0,2033360.0
1030 HK,20190131,6.61,6.58,6.78,6.58,6.6,14836000.0,98828950.0
00456,20190128,0.93,0.92,0.93,0.83,0.91,1740000.0,1549800.0
1236 HK,20190103,1.19,1.19,1.19,1.19,1.19,0.0,0.0
01997,20190124,52.2,52.25,52.3,51.2,52.15,1929309.0,100538505.0
08451,20190103,0.084,0.089,0.09,0.075,0.078,2700000.0,210670.0
2178 HK,20190115,0.236,0.236,0.236,0.236,0.236,0.0,0.0
960 HK,20190129,22.8,22.75,22.95,22.6,22.95,4752866.0,108590100.0
1207 HK,20190108,0.127,0.129,0.129,0.128,0.127,22000.0,2772.0
6839 HK,20190121,2.16,2.18,2.21,2.18,2.18,190000.0,417760.0
02014,20190129,1.72,1.72,1.72,1.67,1.69,438000.0,747290.0
3799 HK,20190129,5.06,5.1,5.16,5.06,5.12,5177300.0,26394810.0
08037,20190124,1.84,1.8,1.87,1.8,1.82,760000.0,1382000.0
02883,20190116,7.22,7.2,7.2,7.06,7.19,6206000.0,44321890.0
00210,20190131,0.249,0.242,0.25,0.24,0.248,268000.0,66114.0
2355 HK,20190122,4.4,4.32,4.32,4.26,4.28,50000.0,215320.0
02328,20190129,7.92,7.9,8.08,7.86,8.06,35218162.0,280374453.0
00797,20190122,1.37,1.37,1.38,1.34,1.38,1468000.0,1988300.0
152 HK,20190125,15.28,15.46,15.46,15.14,15.24,3952334.0,60249185.0
03860,20190124,0.48,0.48,0.48,0.48,0.48,0.0,0.0
1133 HK,20190123,4.12,4.13,4.19,4.12,4.19,8465000.0,35186340.0
00333,20190107,1.55,1.54,1.57,1.54,1.54,236000.0,366240.0
06068,20190102,2.86,2.84,2.9,2.76,2.79,1354000.0,3780174.0
01071,20190118,3.63,3.64,3.65,3.54,3.6,11082120.0,39708069.0
03966,20190123,2.0,2.0,2.2,2.0,2.2,16000.0,32400.0
08536,20190118,0.33,0.315,0.33,0.315,0.325,1560000.0,507100.0
08360,20190108,0.06,0.065,0.066,0.062,0.063,11916000.0,750388.0
00657,20190102,0.068,0.07,0.075,0.056,0.067,210000.0,13648.0
00129,20190129,1.45,1.44,1.46,1.43,1.44,56000.0,80740.0
00846,20190122,1.89,1.89,1.89,1.89,1.89,0.0,0.0
00008,20190109,4.63,4.63,4.68,4.6,4.68,7631909.0,35564763.0
01580,20190130,0.51,0.51,0.54,0.5,0.54,1115000.0,573400.0
54 HK,20190129,35.95,35.9,36.25,35.9,36.0,2279500.0,82102250.0
1265 HK,20190131,0.84,0.84,0.88,0.84,0.87,2410000.0,2095700.0
1338 HK,20190129,0.178,0.183,0.185,0.177,0.177,314000.0,57198.0
06908,20190121,0.73,0.73,0.73,0.73,0.73,0.0,0.0
03866,20190116,6.2,6.2,6.2,6.2,6.2,0.0,0.0
08083,20190130,0.57,0.56,0.57,0.55,0.57,7328000.0,4093640.0
3399 HK,20190131,2.89,2.91,2.95,2.91,2.92,284000.0,829350.0
2878 HK,20190102,0.202,0.202,0.202,0.196,0.199,2854000.0,565180.0
1068 HK,20190107,0.65,0.64,0.64,0.62,0.63,1653000.0,1042050.0
08290,20190104,0.045,0.042,0.049,0.042,0.047,5570000.0,258360.0
682 HK,20190108,0.07,0.069,0.071,0.068,0.069,1452423.0,100244.0
03908,20190103,14.32,14.36,14.62,14.26,14.52,4164000.0,60184304.0
02324,20190107,0.037,0.037,0.037,0.037,0.037,0.0,0.0
06099,20190109,10.5,10.68,10.9,10.36,10.6,448200.0,4815986.0
00547,20190109,0.1,0.1,0.106,0.098,0.103,21050000.0,2149170.0
00065,20190122,0.435,0.41,0.41,0.41,0.42,20000.0,8200.0
00910,20190118,0.49,0.47,0.495,0.45,0.49,1609000.0,754207.0
101 HK,20190128,16.28,16.38,16.44,16.3,16.36,2769609.0,45325160.0
1700 HK,20190109,1.55,1.56,1.61,1.55,1.6,116000.0,181390.0
08349,20190116,0.305,0.3,0.3,0.28,0.3,140000.0,41000.0
00163,20190102,1.85,1.87,1.87,1.85,1.85,426000.0,789200.0
00465,20190111,0.69,0.69,0.69,0.69,0.69,0.0,0.0
00706,20190128,0.03,0.03,0.031,0.03,0.031,1980000.0,60380.0
6837 HK,20190109,8.09,8.19,8.42,8.09,8.21,20620916.0,171016642.0
03623,20190130,0.79,0.79,0.79,0.79,0.79,0.0,0.0
00787,20190131,0.405,0.405,0.405,0.395,0.395,35168000.0,14079100.0
01823,20190130,0.63,0.67,0.71,0.67,0.7,80000.0,54480.0
3808 HK,20190130,12.72,12.72,13.3,12.48,13.3,7834789.0,101780065.0
03323,20190129,5.97,5.9,6.03,5.85,6.02,16795029.0,100387079.0
00105,20190131,22.5,22.5,22.5,22.5,22.5,0.0,0.0
00914,20190102,38.0,37.5,38.05,36.4,36.8,7632929.0,281831677.0
00686,20190110,0.405,0.41,0.42,0.39,0.395,5668000.0,2285540.0
00804,20190109,0.119,0.12,0.128,0.12,0.125,355000.0,44070.0
931 HK,20190122,1.15,1.16,1.17,1.15,1.16,591500.0,684260.0
00788,20190109,1.55,1.56,1.58,1.5,1.52,925085605.0,1415498986.0
271 HK,20190123,2.95,3.01,3.16,2.97,2.99,65000.0,198000.0
00155,20190110,0.18,0.18,0.18,0.18,0.18,0.0,0.0
01721,20190115,0.69,0.69,0.69,0.66,0.67,700000.0,468800.0
01183,20190117,1.03,1.01,1.05,1.01,1.02,82000.0,84320.0
