基金代码,基金简称,公告日期,截止日期,机构投资者持有的基金份额,机构投资者持有的基金份额占总份额比例,个人投资者持有的基金份额,个人投资者持有的基金份额占总份额比例,定期报告所属年度,报告类型
000715,民生加银高等级信用债债券E,2019-08-23 00:00:00,2019-06-30 00:00:00,0.0,0.0,7279223708.84,100.0,2019,中期报告
000791,银华安颐中短债双月持有期债券C,2019-08-26 00:00:00,2019-06-30 00:00:00,333210.74,0.05,673602428.12,99.95,2019,中期报告
000808,招商招利1个月期理财债券型A,2019-08-26 00:00:00,2019-06-30 00:00:00,0.0,0.0,1553423598.05,100.0,2019,中期报告
000809,招商招利1个月期理财债券型B,2019-08-26 00:00:00,2019-06-30 00:00:00,959632.21,0.16,607462481.46,99.84,2019,中期报告
000833,易方达富华纯债债券C,2019-08-24 00:00:00,2019-06-30 00:00:00,0.0,0.0,100406972.17,100.0,2019,中期报告
000931,国寿安保尊益信用纯债债券,2019-08-28 00:00:00,2019-06-30 00:00:00,12228598.31,26.96,33122951.92,73.04,2019,中期报告
000961,天弘沪深300ETF联接A,2019-08-24 00:00:00,2019-06-30 00:00:00,19206147.25,1.07,1768982957.43,98.93,2019,中期报告
000962,天弘中证500ETF联接A,2019-08-24 00:00:00,2019-06-30 00:00:00,81636303.98,5.18,1495027989.43,94.82,2019,中期报告
001057,华夏理财30天债券型A,2019-08-29 00:00:00,2019-06-30 00:00:00,5297669.93,0.59,888618550.22,99.41,2019,中期报告
001058,华夏理财30天债券型B,2019-08-29 00:00:00,2019-06-30 00:00:00,16556801100.98,99.64,59816112.72,0.36,2019,中期报告
001124,融通增强收益债券C,2019-08-24 00:00:00,2019-06-30 00:00:00,4103113.85,100.0,0.0,0.0,2019,中期报告
001351,诺安中证500指数增强A,2019-08-23 00:00:00,2019-06-30 00:00:00,0.0,0.0,157846725.26,100.0,2019,中期报告
001516,大成安汇金融债债券E,2019-08-27 00:00:00,2019-06-30 00:00:00,0.0,0.0,113448435.65,100.0,2019,中期报告
001556,天弘中证500指数增强A,2019-08-24 00:00:00,2019-06-30 00:00:00,5000000.0,34.71,9404514.2,65.29,2019,中期报告
001557,天弘中证500指数增强C,2019-08-24 00:00:00,2019-06-30 00:00:00,18294336.61,68.77,8306545.42,31.23,2019,中期报告
001592,天弘创业板ETF联接A,2019-08-24 00:00:00,2019-06-30 00:00:00,241403664.3,15.87,1280135876.9,84.13,2019,中期报告
001593,天弘创业板ETF联接C,2019-08-24 00:00:00,2019-06-30 00:00:00,1259123320.21,31.79,2701551914.01,68.21,2019,中期报告
001594,天弘中证银行ETF联接A,2019-08-24 00:00:00,2019-06-30 00:00:00,5000000.0,1.63,302566947.06,98.37,2019,中期报告
001595,天弘中证银行ETF联接C,2019-08-24 00:00:00,2019-06-30 00:00:00,26534961.55,7.47,328897448.34,92.53,2019,中期报告
001617,天弘中证电子ETF联接A,2019-08-24 00:00:00,2019-06-30 00:00:00,5000000.0,2.56,190088650.07,97.44,2019,中期报告
001618,天弘中证电子ETF联接C,2019-08-24 00:00:00,2019-06-30 00:00:00,5000000.0,1.81,271197361.35,98.19,2019,中期报告
001619,兴银汇福定期开放债券,2019-08-24 00:00:00,2019-06-30 00:00:00,509999000.0,100.0,0.0,0.0,2019,中期报告
001629,天弘中证计算机主题ETF联接A,2019-08-24 00:00:00,2019-06-30 00:00:00,5000000.0,1.35,366509241.17,98.65,2019,中期报告
001630,天弘中证计算机主题ETF联接C,2019-08-24 00:00:00,2019-06-30 00:00:00,19800713.01,1.34,1456910268.65,98.66,2019,中期报告
001693,招商招利1个月期理财债券型C,2019-08-26 00:00:00,2019-06-30 00:00:00,3962563.63,0.99,395128308.8,99.01,2019,中期报告
001723,华商新动力混合A,2019-08-29 00:00:00,2019-06-30 00:00:00,0.0,0.0,57914860.79,100.0,2019,中期报告
001750,景顺长城景瑞收益债券A,2019-08-23 00:00:00,2019-06-30 00:00:00,9342.96,0.02,54258525.96,99.98,2019,中期报告
001783,兴银合盈债券A,2019-08-24 00:00:00,2019-06-30 00:00:00,303043.12,89.57,35300.19,10.43,2019,中期报告
001784,兴银合盈债券C,2019-08-24 00:00:00,2019-06-30 00:00:00,0.0,0.0,7551.21,100.0,2019,中期报告
001879,长城创业板指数增强A,2019-08-27 00:00:00,2019-06-30 00:00:00,20833002.66,35.87,37240717.83,64.13,2019,中期报告
001900,诺安精选价值混合,2019-08-23 00:00:00,2019-06-30 00:00:00,0.0,0.0,76256687.52,100.0,2019,中期报告
001932,国寿安保灵活优选混合,2019-08-28 00:00:00,2019-06-30 00:00:00,78763007.64,85.6,13253862.86,14.4,2019,中期报告
001984,摩根中国生物医药混合(QDII)A,2019-08-24 00:00:00,2019-06-30 00:00:00,8444342.11,2.42,339800400.81,97.58,2019,中期报告
002063,国泰沪深300指数增强C,2019-08-28 00:00:00,2019-06-30 00:00:00,0.0,0.0,288060.12,100.0,2019,中期报告
002076,浙商中证500指数增强A,2019-08-26 00:00:00,2019-06-30 00:00:00,56833130.78,99.2,456336.96,0.8,2019,中期报告
002197,国泰鑫策略价值灵活配置混合,2019-08-28 00:00:00,2019-06-30 00:00:00,997064.95,1.55,63141229.96,98.45,2019,中期报告
002256,金信行业优选灵活配置混合,2019-08-24 00:00:00,2019-06-30 00:00:00,10000583.85,79.73,2541779.24,20.27,2019,中期报告
002271,招商安弘灵活配置混合,2019-08-26 00:00:00,2019-06-30 00:00:00,0.0,0.0,83910945.9,100.0,2019,中期报告
002274,中邮纯债聚利债券型A,2019-08-26 00:00:00,2019-06-30 00:00:00,87335371.18,93.25,6322516.98,6.75,2019,中期报告
002275,中邮纯债聚利债券型C,2019-08-26 00:00:00,2019-06-30 00:00:00,0.0,0.0,1098794.21,100.0,2019,中期报告
002282,平安安享灵活配置混合A,2019-08-23 00:00:00,2019-06-30 00:00:00,115512695.99,71.76,45447643.15,28.24,2019,中期报告
002288,中银稳进策略灵活配置混合A,2019-08-26 00:00:00,2019-06-30 00:00:00,198131.8,0.0968,204446171.8,99.9032,2019,中期报告
002293,南方益和灵活配置混合,2019-08-23 00:00:00,2019-06-30 00:00:00,0.0,0.0,149909371.83,100.0,2019,中期报告
002295,广发稳安灵活配置混合A,2019-08-28 00:00:00,2019-06-30 00:00:00,994415.79,0.44,222733890.09,99.56,2019,中期报告
002296,长城行业轮动灵活配置混合A,2019-08-27 00:00:00,2019-06-30 00:00:00,495075.75,0.38,130753745.57,99.62,2019,中期报告
002301,兴业短债债券A,2019-08-24 00:00:00,2019-06-30 00:00:00,110579549.14,99.79,234556.12,0.21,2019,中期报告
002304,平安安心灵活配置混合A,2019-08-23 00:00:00,2019-06-30 00:00:00,152768174.63,84.79,27411609.48,15.21,2019,中期报告
002337,创金合信季安鑫3个月持有期债券A,2019-08-27 00:00:00,2019-06-30 00:00:00,0.0,0.0,57014.67,100.0,2019,中期报告
002338,兴业优债增利债券A,2019-08-24 00:00:00,2019-06-30 00:00:00,197637.9,0.3807,51710062.72,99.6193,2019,中期报告
002389,招商安德灵活配置混合A,2019-08-26 00:00:00,2019-06-30 00:00:00,0.0,0.0,61474311.67,100.0,2019,中期报告
002390,招商安德灵活配置混合C,2019-08-26 00:00:00,2019-06-30 00:00:00,0.0,0.0,9.43,100.0,2019,中期报告
002412,华富安福债券,2019-08-29 00:00:00,2019-06-30 00:00:00,198019.8,0.88,22347934.33,99.12,2019,中期报告
002415,融通通盈灵活配置混合,2019-08-24 00:00:00,2019-06-30 00:00:00,54356767.53,49.52,55400655.19,50.48,2019,中期报告
002420,汇添富盈鑫灵活配置混合A,2019-08-29 00:00:00,2019-06-30 00:00:00,0.0,0.0,321087245.55,100.0,2019,中期报告
002446,广发利鑫灵活配置混合A,2019-08-28 00:00:00,2019-06-30 00:00:00,0.0,0.0,157156466.91,100.0,2019,中期报告
002447,博时裕安纯债一年定期开放债券,2019-08-27 00:00:00,2019-06-30 00:00:00,803977657.0,99.88,938732.52,0.12,2019,中期报告
002456,招商安元灵活配置混合A,2019-08-26 00:00:00,2019-06-30 00:00:00,0.0,0.0,106861773.45,100.0,2019,中期报告
002457,招商安元灵活配置混合C,2019-08-26 00:00:00,2019-06-30 00:00:00,0.0,0.0,67000988.73,100.0,2019,中期报告
002458,国泰民利策略收益灵活配置混合,2019-08-28 00:00:00,2019-06-30 00:00:00,1025456125.0,70.6,427108629.34,29.4,2019,中期报告
002489,国泰民福策略价值灵活配置混合A,2019-08-28 00:00:00,2019-06-30 00:00:00,99072.9,0.06,172925113.42,99.94,2019,中期报告
002512,长城久润灵活配置混合A,2019-08-27 00:00:00,2019-06-30 00:00:00,0.0,0.0,125998313.26,100.0,2019,中期报告
002537,平安安盈灵活配置混合A,2019-08-23 00:00:00,2019-06-30 00:00:00,101000000.0,60.0,67324277.72,40.0,2019,中期报告
002542,长城久鼎灵活配置混合A,2019-08-27 00:00:00,2019-06-30 00:00:00,2132729.19,0.14,1507979739.15,99.86,2019,中期报告
002598,平安消费精选混合A,2019-08-23 00:00:00,2019-06-30 00:00:00,0.0,0.0,29387408.29,100.0,2019,中期报告
002599,平安消费精选混合C,2019-08-23 00:00:00,2019-06-30 00:00:00,0.0,0.0,531771.79,100.0,2019,中期报告
002601,中银证券价值精选灵活配置混合,2019-08-26 00:00:00,2019-06-30 00:00:00,1485368.07,0.59,249378208.24,99.41,2019,中期报告
002603,工银瑞信瑞丰半年定期开放纯债债券,2019-08-28 00:00:00,2019-06-30 00:00:00,2339257170.17,99.93,1649916.05,0.07,2019,中期报告
002612,融通通慧混合A/B,2019-08-24 00:00:00,2019-06-30 00:00:00,77690383.79,77.81,22159826.45,22.19,2019,中期报告
002622,广发稳裕混合A,2019-08-28 00:00:00,2019-06-30 00:00:00,476191005.26,75.07,158119015.67,24.93,2019,中期报告
002659,兴业中债1-3年政策性金融债指数A,2019-08-24 00:00:00,2019-06-30 00:00:00,99400271.98,99.88,119719.01,0.12,2019,中期报告
002690,前海开源恒泽混合A,2019-08-24 00:00:00,2019-06-30 00:00:00,0.0,0.0,182663982.7,100.0,2019,中期报告
002691,前海开源恒泽混合C,2019-08-24 00:00:00,2019-06-30 00:00:00,994440.79,1.95,49997187.16,98.05,2019,中期报告
002703,长城久源灵活配置混合A,2019-08-27 00:00:00,2019-06-30 00:00:00,0.0,0.0,91610712.37,100.0,2019,中期报告
002704,德邦锐兴债券A,2019-08-27 00:00:00,2019-06-30 00:00:00,220007000.0,97.81,4925166.99,2.19,2019,中期报告
002705,德邦锐兴债券C,2019-08-27 00:00:00,2019-06-30 00:00:00,0.0,0.0,1676236.45,100.0,2019,中期报告
002714,鹏华金城灵活配置混合,2019-08-23 00:00:00,2019-06-30 00:00:00,500499000.0,82.63,105223427.03,17.37,2019,中期报告
002719,融通增祥三个月定期开放债券,2019-08-24 00:00:00,2019-06-30 00:00:00,230058118.24,91.63,21026040.72,8.37,2019,中期报告
002756,招商招兴3个月定期开放债券A,2019-08-26 00:00:00,2019-06-30 00:00:00,2731554069.52,100.0,5022.62,0.0,2019,中期报告
002757,招商招兴3个月定期开放债券C,2019-08-26 00:00:00,2019-06-30 00:00:00,0.0,0.0,25710.34,100.0,2019,中期报告
002768,华安安进灵活配置混合A,2019-08-28 00:00:00,2019-06-30 00:00:00,247656167.8,99.66,842138.98,0.34,2019,中期报告
002769,兴业短债债券C,2019-08-24 00:00:00,2019-06-30 00:00:00,0.0,0.0,579672.39,100.0,2019,中期报告
002904,博时安仁一年定期开放债券型A,2019-08-27 00:00:00,2019-06-30 00:00:00,499999000.0,99.91,453485.05,0.09,2019,中期报告
002905,博时安仁一年定期开放债券型C,2019-08-27 00:00:00,2019-06-30 00:00:00,0.0,0.0,47580.1,100.0,2019,中期报告
002959,汇添富盈泰灵活配置混合,2019-08-29 00:00:00,2019-06-30 00:00:00,89498.11,0.01,1029697548.4,99.99,2019,中期报告
003002,国金及第中短债债券A,2019-08-27 00:00:00,2019-06-30 00:00:00,360.22,0.0,219045407.63,100.0,2019,中期报告
003009,国联盈泽中短债债券A,2019-08-26 00:00:00,2019-06-30 00:00:00,19286136.89,42.91,25661791.35,57.09,2019,中期报告
003010,国联盈泽中短债债券C,2019-08-26 00:00:00,2019-06-30 00:00:00,0.0,0.0,38582684.13,100.0,2019,中期报告
003071,国联睿祥纯债债券A,2019-08-26 00:00:00,2019-06-30 00:00:00,198912099.45,99.98,42384.34,0.02,2019,中期报告
003072,国联睿祥纯债债券C,2019-08-26 00:00:00,2019-06-30 00:00:00,0.0,0.0,85599.12,100.0,2019,中期报告
003123,天治鑫利纯债债券A,2019-08-23 00:00:00,2019-06-30 00:00:00,0.0,0.0,6944456.26,100.0,2019,中期报告
003124,天治鑫利纯债债券C,2019-08-23 00:00:00,2019-06-30 00:00:00,0.0,0.0,13184.31,100.0,2019,中期报告
003126,长信易进混合A,2019-08-27 00:00:00,2019-06-30 00:00:00,0.0,0.0,90958.51,100.0,2019,中期报告
003127,长信易进混合C,2019-08-27 00:00:00,2019-06-30 00:00:00,0.0,0.0,6209944.27,100.0,2019,中期报告
003163,金鹰添益3个月定期开放债券,2019-08-23 00:00:00,2019-06-30 00:00:00,2585179846.64,99.86,3679076.97,0.14,2019,中期报告
003189,汇添富保鑫灵活配置混合A,2019-08-29 00:00:00,2019-06-30 00:00:00,350263500.0,76.95,104915974.29,23.05,2019,中期报告
003205,财通可转债债券C,2019-08-27 00:00:00,2019-06-30 00:00:00,0.0,0.0,20567.64,100.0,2019,中期报告
003239,博时安祺6个月定期开放债券A,2019-08-27 00:00:00,2019-06-30 00:00:00,980389215.69,97.52,24949294.85,2.48,2019,中期报告
003240,博时安祺6个月定期开放债券C,2019-08-27 00:00:00,2019-06-30 00:00:00,0.0,0.0,7192297.01,100.0,2019,中期报告
003275,国联安添利增长债券A,2019-08-28 00:00:00,2019-06-30 00:00:00,12248665.68,70.59,5102180.81,29.41,2019,中期报告
003276,国联安添利增长债券C,2019-08-28 00:00:00,2019-06-30 00:00:00,0.0,0.0,2195055.82,100.0,2019,中期报告
003297,招商双债增强债券(LOF)E,2019-08-26 00:00:00,2019-06-30 00:00:00,0.0,0.0,74318911.81,100.0,2019,中期报告
003315,景顺长城政策性金融债债券A,2019-08-23 00:00:00,2019-06-30 00:00:00,0.0,0.0,6215647.97,100.0,2019,中期报告
003403,华商瑞丰短债债券A,2019-08-29 00:00:00,2019-06-30 00:00:00,265741253.24,94.5,15468120.26,5.5,2019,中期报告
003471,新疆前海联合添鑫3个月定期开放债券A,2019-08-24 00:00:00,2019-06-30 00:00:00,0.0,0.0,7859339.29,100.0,2019,中期报告
003472,新疆前海联合添鑫3个月定期开放债券C,2019-08-24 00:00:00,2019-06-30 00:00:00,93457943.92,98.92,1021664.48,1.08,2019,中期报告
003520,万家1-3年政策性金融债纯债债券A,2019-08-24 00:00:00,2019-06-30 00:00:00,2322677365.63,100.0,79020.04,0.0,2019,中期报告
003521,万家1-3年政策性金融债纯债债券C,2019-08-24 00:00:00,2019-06-30 00:00:00,897875.09,75.87,285522.71,24.13,2019,中期报告
003532,汇添富鑫利定期开放债券A,2019-08-29 00:00:00,2019-06-30 00:00:00,1876774033.82,100.0,32314.97,0.0,2019,中期报告
003533,汇添富鑫利定期开放债券C,2019-08-29 00:00:00,2019-06-30 00:00:00,0.0,0.0,30928.79,100.0,2019,中期报告
003564,博时安诚3个月定期开放债券A,2019-08-27 00:00:00,2019-06-30 00:00:00,493582428.43,99.81,935487.76,0.19,2019,中期报告
003565,博时安诚3个月定期开放债券C,2019-08-27 00:00:00,2019-06-30 00:00:00,1000194.44,42.62,1346499.09,57.38,2019,中期报告
003682,博时安弘一年定期开放债券型A,2019-08-27 00:00:00,2019-06-30 00:00:00,510072100.14,98.81,6130521.78,1.19,2019,中期报告
003683,博时安弘一年定期开放债券型C,2019-08-27 00:00:00,2019-06-30 00:00:00,0.0,0.0,253372.37,100.0,2019,中期报告
003696,国泰润鑫定期开放债券,2019-08-28 00:00:00,2019-06-30 00:00:00,1292863411.15,99.98,207425.66,0.02,2019,中期报告
003760,国泰中证500指数增强A,2019-08-28 00:00:00,2019-06-30 00:00:00,0.0,0.0,508638.64,100.0,2019,中期报告
003761,国泰中证500指数增强C,2019-08-28 00:00:00,2019-06-30 00:00:00,0.0,0.0,2877512.89,100.0,2019,中期报告
003822,中信建投行业轮换混合A,2019-08-26 00:00:00,2019-06-30 00:00:00,14998300.0,33.5292,29733707.04,66.4708,2019,中期报告
003823,中信建投行业轮换混合C,2019-08-26 00:00:00,2019-06-30 00:00:00,19050350.98,57.2048,14251678.02,42.7952,2019,中期报告
003880,嘉实稳骏纯债债券,2019-08-29 00:00:00,2019-06-30 00:00:00,0.0,0.0,20543156.78,100.0,2019,中期报告
003938,南方荣尊混合A,2019-08-23 00:00:00,2019-06-30 00:00:00,9341367.71,33.79,18300318.71,66.21,2019,中期报告
003939,南方荣尊混合C,2019-08-23 00:00:00,2019-06-30 00:00:00,0.0,0.0,20670049.17,100.0,2019,中期报告
003952,兴业嘉瑞6个月定期开放债券A,2019-08-24 00:00:00,2019-06-30 00:00:00,999999000.0,100.0,2579.91,0.0,2019,中期报告
003953,兴业嘉瑞6个月定期开放债券C,2019-08-24 00:00:00,2019-06-30 00:00:00,0.0,0.0,1340.17,100.0,2019,中期报告
003957,安信量化精选沪深300指数增强A,2019-08-27 00:00:00,2019-06-30 00:00:00,0.0,0.0,628537.35,100.0,2019,中期报告
003958,安信量化精选沪深300指数增强C,2019-08-27 00:00:00,2019-06-30 00:00:00,31615720.71,94.17,1958261.95,5.83,2019,中期报告
003980,中银证券瑞益灵活配置混合A,2019-08-26 00:00:00,2019-06-30 00:00:00,13069896.41,29.02,31966971.05,70.98,2019,中期报告
003981,中银证券瑞益灵活配置混合C,2019-08-26 00:00:00,2019-06-30 00:00:00,0.0,0.0,6408225.38,100.0,2019,中期报告
004031,鑫元添利三个月定期开放债券,2019-08-24 00:00:00,2019-06-30 00:00:00,9603220.8,99.76,23102.44,0.24,2019,中期报告
004117,大成惠祥纯债债券,2019-08-27 00:00:00,2019-06-30 00:00:00,1999999000.0,100.0,2811.98,0.0,2019,中期报告
004122,兴银长益三个月定期开放债券,2019-08-24 00:00:00,2019-06-30 00:00:00,3000000000.0,99.99,335422.37,0.01,2019,中期报告
004123,兴银长盈三个月定期开放债券A,2019-08-24 00:00:00,2019-06-30 00:00:00,2000000000.0,99.98,330465.86,0.02,2019,中期报告
004155,中信保诚至泰中短债债券A,2019-08-26 00:00:00,2019-06-30 00:00:00,0.0,0.0,86085697.06,100.0,2019,中期报告
004156,中信保诚至泰中短债债券C,2019-08-26 00:00:00,2019-06-30 00:00:00,0.0,0.0,15338464.16,100.0,2019,中期报告
004189,华商消费行业股票,2019-08-29 00:00:00,2019-06-30 00:00:00,35407932.01,48.58,37480258.51,51.42,2019,中期报告
004218,前海开源裕和混合A,2019-08-24 00:00:00,2019-06-30 00:00:00,0.0,0.0,25955909.55,100.0,2019,中期报告
004242,兴业稳康三年定期开放债券,2019-08-24 00:00:00,2019-06-30 00:00:00,199999000.0,99.997,6037.0,0.003,2019,中期报告
004389,大成惠明纯债债券,2019-08-27 00:00:00,2019-06-30 00:00:00,738056610.59,100.0,3307.36,0.0,2019,中期报告
004469,汇添富鑫益定期开放债券型A,2019-08-29 00:00:00,2019-06-30 00:00:00,1500066500.0,100.0,40841.82,0.0,2019,中期报告
004470,汇添富鑫益定期开放债券型C,2019-08-29 00:00:00,2019-06-30 00:00:00,0.0,0.0,65535.96,100.0,2019,中期报告
004512,海富通沪深300指数增强C,2019-08-28 00:00:00,2019-06-30 00:00:00,0.0,0.0,5625567.83,100.0,2019,中期报告
004513,海富通沪深300指数增强A,2019-08-28 00:00:00,2019-06-30 00:00:00,0.0,0.0,8530416.89,100.0,2019,中期报告
004596,中科沃土沃安中短期利率债债券A,2019-08-26 00:00:00,2019-06-30 00:00:00,522931214.21,96.27,20238158.69,3.73,2019,中期报告
004632,平安合意定期开放债券,2019-08-23 00:00:00,2019-06-30 00:00:00,508564883.76,100.0,0.0,0.0,2019,中期报告
004672,华夏短债债券A,2019-08-29 00:00:00,2019-06-30 00:00:00,19450541.33,55.64,15504784.45,44.36,2019,中期报告
004673,华夏短债债券C,2019-08-29 00:00:00,2019-06-30 00:00:00,0.0,0.0,31711815.95,100.0,2019,中期报告
004736,富国鼎利纯债三个月定期开放债券,2019-08-27 00:00:00,2019-06-30 00:00:00,141739334.15,100.0,0.0,0.0,2019,中期报告
004740,中欧瑞丰灵活配置混合(LOF)C,2019-08-26 00:00:00,2019-06-30 00:00:00,0.0,0.0,6298662.8,100.0,2019,中期报告
004788,富荣沪深300指数增强A,2019-08-27 00:00:00,2019-06-30 00:00:00,0.0,0.0,155825.21,100.0,2019,中期报告
004789,富荣沪深300指数增强C,2019-08-27 00:00:00,2019-06-30 00:00:00,80470371.28,48.67,84882374.47,51.33,2019,中期报告
004790,富荣中证500指数增强A,2019-08-27 00:00:00,2019-06-30 00:00:00,0.0,0.0,914273.51,100.0,2019,中期报告
004791,富荣中证500指数增强C,2019-08-27 00:00:00,2019-06-30 00:00:00,14000000.0,99.89,15557.14,0.11,2019,中期报告
004827,平安中短债债券A,2019-08-23 00:00:00,2019-06-30 00:00:00,208654283.53,51.3,198058862.59,48.7,2019,中期报告
004828,平安中短债债券C,2019-08-23 00:00:00,2019-06-30 00:00:00,9177869.44,35.55,16639338.58,64.45,2019,中期报告
004839,银华安颐中短债双月持有期债券A,2019-08-26 00:00:00,2019-06-30 00:00:00,15143505495.96,100.0,1194.61,0.0,2019,中期报告
004897,长安泓源纯债债券A,2019-08-27 00:00:00,2019-06-30 00:00:00,1906406.86,61.24,1206440.63,38.76,2019,中期报告
004898,长安泓源纯债债券C,2019-08-27 00:00:00,2019-06-30 00:00:00,0.0,0.0,2956303.16,100.0,2019,中期报告
004907,长安泓沣中短债债券A,2019-08-27 00:00:00,2019-06-30 00:00:00,0.0,0.0,1005368.37,100.0,2019,中期报告
004908,长安泓沣中短债债券C,2019-08-27 00:00:00,2019-06-30 00:00:00,0.0,0.0,1260049.81,100.0,2019,中期报告
004954,中银证券中高等级债券A,2019-08-26 00:00:00,2019-06-30 00:00:00,12357149.75,1.93,626514662.02,98.07,2019,中期报告
004955,中银证券中高等级债券C,2019-08-26 00:00:00,2019-06-30 00:00:00,270083.12,1.5,17697206.21,98.5,2019,中期报告
004960,平安合泰3个月定期开放债券,2019-08-23 00:00:00,2019-06-30 00:00:00,10029940.12,100.0,0.0,0.0,2019,中期报告
004978,富国聚利纯债三个月定期开放债券,2019-08-27 00:00:00,2019-06-30 00:00:00,935496529.38,100.0,0.0,0.0,2019,中期报告
005029,中银产业精选混合A,2019-08-26 00:00:00,2019-06-30 00:00:00,0.0,0.0,204082892.06,100.0,2019,中期报告
005047,南华瑞扬纯债债券A,2019-08-23 00:00:00,2019-06-30 00:00:00,50944.93,1.7,2940344.03,98.3,2019,中期报告
005048,南华瑞扬纯债债券C,2019-08-23 00:00:00,2019-06-30 00:00:00,0.0,0.0,289432.73,100.0,2019,中期报告
005090,嘉合睿金混合A,2019-08-29 00:00:00,2019-06-30 00:00:00,10452941.18,99.9,10233.93,0.1,2019,中期报告
005091,嘉合睿金混合C,2019-08-29 00:00:00,2019-06-30 00:00:00,508336.72,99.92,425.57,0.08,2019,中期报告
005099,易方达富华纯债债券A,2019-08-24 00:00:00,2019-06-30 00:00:00,4436797521.51,100.0,0.0,0.0,2019,中期报告
005137,长信沪深300指数增强A,2019-08-27 00:00:00,2019-06-30 00:00:00,1250.0,0.13,971453.6,99.87,2019,中期报告
005138,前海开源弘丰债券A,2019-08-24 00:00:00,2019-06-30 00:00:00,6999.3,0.05,14155538.26,99.95,2019,中期报告
005139,前海开源弘丰债券C,2019-08-24 00:00:00,2019-06-30 00:00:00,15579020.35,53.34,13625768.84,46.66,2019,中期报告
005177,华夏睿磐泰利混合A,2019-08-29 00:00:00,2019-06-30 00:00:00,305483259.4,94.25,18637435.49,5.75,2019,中期报告
005178,华夏睿磐泰利混合C,2019-08-29 00:00:00,2019-06-30 00:00:00,11537724.65,45.79,13661174.71,54.21,2019,中期报告
