基金代码,交易日期,单位净值,复权单位净值,累计单位净值,资产净值
007816,20201201,1.3372,1.3372,1.3372,65882093.29
007875,20201118,1.2726,1.2726,1.2726,14278211.73
007266,20210824,1.1819,1.1819,1.1819,95353007.59
007863,20210907,1.5328,1.5328,1.5328,45232167.51
009047,20210125,1.7908,1.7908,1.7908,86135587.69
006235,20200818,1.5585,1.5585,1.5585,17856360.97
010202,20211216,1.3129,1.3129,1.3129,65717000.67
009559,20210531,1.0349,1.0349,1.0349,79426127.98
007015,20200227,1.0226,1.0226,1.0226,77028428.55
007867,20200814,1.0254,1.0254,1.0254,408895389.93
002598,20210528,1.5773,1.272,1.272,9373903.57
008051,20200113,1.0075,1.0075,1.0075,176622392.16
009145,20210730,1.0932,1.0932,1.0932,51956885.55
009808,20210201,1.1159,1.1159,1.1159,8457337706.7
008470,20210625,1.1308,1.1308,1.1308,118742915.15
007362,20211112,0.1579,0.1579,0.1579,122889686.23
008063,20210412,1.5632,1.5632,1.5632,6068649476.01
485118,20200731,1.0108,1.0108,1.0108,1564467503.53
009267,20210324,1.1739,1.2142,1.214,12545079.04
008472,20200916,1.002,1.016,1.0159,32249.9
008135,20210112,1.5174,1.5174,1.5174,34416094.43
005103,20210928,1.2222,1.2222,1.2222,9030308.57
008892,20201015,1.3893,1.3893,1.3893,44415348.04
009321,20210908,1.168,1.0659,1.168,2407933.34
007793,20200303,1.0231,1.0231,1.0231,168512484.58
006650,20200430,1.1031,1.1031,1.1031,180709101.88
008210,20210204,1.1134,1.1134,1.1134,559312809.3
007968,20201216,1.5555,1.5555,1.5555,1807696843.28
007848,20200219,1.2519,1.2519,1.2519,82627086.21
010771,20210713,1.0479,1.0479,1.0479,51763824.78
006946,20200727,1.0159,1.0396,1.0394,4013657912.01
008181,20210415,1.2226,1.2226,1.2226,12475974.34
007543,20210108,1.0407,1.0407,1.0407,800199.06
007824,20210602,1.0638,1.0638,1.0638,8233242900.33
006989,20210719,1.0435,1.0924,1.0908,786108653.14
900019,20210603,1.0576,1.0576,1.0576,605087604.75
009407,20211110,1.0394,1.0394,1.0394,1988531930.33
006895,20211013,1.2945,1.2945,1.2945,61931189.29
006555,20201210,1.5196,1.5196,1.5196,41675382.86
005856,20210907,3.2133,3.2133,3.2133,260108454.33
008928,20210125,1.5719,1.5719,1.5719,145085220.1
010102,20210714,0.9606,0.9606,0.9606,246173.62
007326,20200220,1.1957,1.3574,1.3514,52806232.2
006481,20200925,1.0101,1.0456,1.0449,355763359.22
007238,20211228,1.5711,1.5711,1.5711,572392812.14
003205,20210913,1.2744,1.3304,1.3221,8313831.02
007387,20200708,1.3855,1.3855,1.3855,267663831.51
010037,20210120,5.6623,5.6623,5.6623,7808854.58
009479,20211124,0.9392,0.9392,0.9392,12347737.17
007035,20210326,1.0111,1.0624,1.0615,11277652014.44
005177,20211130,1.3186,1.3799,1.3798,636260092.11
003123,20200917,1.0975,1.0975,1.0975,3693787.04
006924,20201028,1.345,1.345,1.345,15197954.57
010401,20210720,1.0287,1.0287,1.0287,1081015706.35
009182,20210611,1.0311,1.0984,1.0985,590340842.47
008662,20210325,0.9991,1.0055,1.0055,949189228.61
007449,20211104,1.9484,1.9484,1.9484,1548961783.8
007617,20210609,1.0165,1.06,1.0595,41043846.35
009686,20211026,1.5008,1.5008,1.5008,1463050370.16
007646,20210719,1.0888,1.0888,1.0888,7734.74
007085,20210714,1.1799,1.3167,1.2999,1096925474.53
008820,20210623,1.043,1.043,1.043,47138787.51
007868,20200814,102.2728,0.0001,1.0227,41837199.98
008884,20210506,0.9475,0.9475,0.9475,30784481.85
010642,20210601,1.01,1.01,1.01,1123103675.5
002447,20200313,1.0546,1.1822,1.1734,838064282.99
009538,20210330,1.0585,1.0585,1.0585,51571305.95
005839,20200914,1.0005,1.0005,1.0005,188711.35
008187,20200901,1.5192,1.5192,1.5192,146929127.73
008871,20210623,1.2048,1.2048,1.2048,99676125.59
009634,20210609,1.0588,1.0588,1.0588,107726696.87
007527,20211116,2.1282,2.1282,2.1282,33430859.1
009535,20201014,1.0052,1.0052,1.0052,11583.02
006481,20200220,1.0045,1.0337,1.0333,471480605.94
010019,20201208,1.0044,1.0044,1.0044,2035932484.1
009275,20200828,2.782,2.782,2.782,95479848.92
008804,20200916,0.9978,0.9978,0.9978,144503257.13
009616,20211008,1.0123,1.0335,1.0333,173719.11
007566,20211118,1.0092,1.0092,1.0092,1006752327.94
485118,20210913,1.0378,1.0378,1.0378,1461248006.06
009284,20201126,0.9979,0.9979,0.9979,1229742803.29
217025,20210520,1.0201,1.0201,1.0201,805390865.8
007959,20210713,1.8104,1.8104,1.8104,250881400.91
003938,20210728,1.2536,1.2836,1.2836,301316856.82
008295,20210430,1.509,1.509,1.509,263241104.47
008534,20210413,1.2805,1.2805,1.2805,139177929.66
007233,20210819,1.1577,1.2139,1.2127,344993753.62
000134,20211014,1.0118,1.0433,1.0454,7584869391.16
009330,20201016,1.1688,1.1688,1.1688,3254465516.63
009141,20210407,1.2364,1.2364,1.2364,474305140.91
006892,20210930,1.0751,1.0751,1.0751,3816446.07
008671,20210218,1.584,1.584,1.584,544307584.29
008847,20210315,1.0728,1.0728,1.0728,88775692.74
900052,20211027,1.2117,1.2117,1.2117,7308013402.23
008167,20210909,1.3915,1.3915,1.3915,138060349.31
008695,20200722,1.0064,1.0064,1.0064,101388.22
007522,20200109,1.0,1.0148,0.0,3605564.57
002274,20211126,1.11,1.2247,1.2716,526250798.73
007297,20210223,1.4477,1.4477,1.4477,339292127.79
006854,20200210,0.997,0.997,0.997,61510224.65
006939,20200921,1.652,1.652,1.652,100135470.46
007926,20210623,1.0567,1.1307,1.1299,934551.56
009005,20200924,1.1372,1.1372,1.1372,360890929.02
005890,20210830,1.1008,1.1008,1.1008,2019989774.2
010252,20210604,1.0113,1.0113,1.0113,647831.41
009118,20211227,1.0109,1.036,1.0359,4110307152.67
007637,20211104,1.0675,1.0675,1.0675,7643787.6
006800,20200922,1.054,1.0642,1.064,61747184.72
006802,20210514,1.5317,1.5317,1.5317,22645418.9
005506,20210129,1.6313,1.6313,1.6313,36715441.2
008874,20210629,1.008,1.008,1.008,35250639.02
006924,20201104,1.3709,1.3709,1.3709,15197954.57
006666,20210927,1.0186,1.0784,1.0765,195039.1
007277,20210311,1.2551,1.2551,1.2551,199117615.1
007152,20210428,1.5999,1.5999,1.5999,73554194.66
010459,20201223,1.0007,1.0007,1.0007,400001997.05
006530,20210415,1.5943,1.7698,1.7523,525035107.14
004189,20200213,1.0567,0.7522,0.7522,19181870.62
009049,20210506,1.5635,1.5635,1.5635,4464072718.41
006372,20200413,1.2412,1.2412,1.2412,122691955.4
006861,20211231,1.3066,1.3066,1.3066,2528440395.11
008343,20210402,1.1323,1.1323,1.1323,21043028.41
009185,20211119,1.0733,1.0733,1.0733,57000652.33
008518,20210204,1.2657,1.2657,1.2657,154782243.51
009714,20210916,0.9746,0.9746,0.9746,13291848903.2
008457,20210914,1.2912,1.2912,1.2912,656632414.18
008970,20201215,1.5058,1.5058,1.5058,933810170.6
008835,20211229,1.0284,1.0284,1.0284,1205776551.78
006931,20200601,0.9364,0.9364,0.9364,18360462.89
008952,20211209,1.0201,1.0424,1.0421,253405515.29
008099,20200807,1.1022,1.1022,1.1022,870405196.13
008504,20201231,1.039,1.149,1.1483,5902430.49
009002,20211228,1.0424,1.0424,1.0424,15487.75
007858,20211207,103.4687,0.0001,1.0397,10319546.45
010303,20210709,1.1306,1.1306,1.1306,218744396.24
010276,20210830,1.0573,1.0573,1.0573,147143444.81
006898,20200323,1.0583,1.0583,1.0583,213041434.79
010268,20210119,1.0419,1.0419,1.0419,269428868.24
007947,20200310,1.0079,1.0146,1.0146,31530.3
007822,20210119,0.9081,0.9081,0.9081,27829941.47
004976,20200820,1.0652,1.0652,1.0652,2150027.4
008772,20210726,1.0345,1.0345,1.0345,40.22
009477,20210628,0.9345,0.9345,0.9345,8657669.21
166110,20200721,1.2092,1.2092,1.2092,23290452.41
009644,20210301,1.3979,1.3979,1.3979,979962749.03
009589,20210810,1.0,1.0262,0.0,32339842.11
006671,20200312,1.1745,1.1745,1.1745,352599376.34
005139,20200925,1.2085,1.4985,1.4985,5432630.69
006744,20211206,1.3937,1.3937,1.3937,17481610.88
007364,20200408,1.0184,1.0315,1.0314,2765412231.86
010055,20211206,1.1749,1.1749,1.1749,17703568.22
008517,20200612,0.9999,0.9999,0.9999,999895441.91
008586,20200827,0.9672,0.9672,0.9672,97383328.45
009415,20211203,1.0527,1.0527,1.0527,238342310.03
008271,20200413,0.97,0.97,0.97,709945537.09
007340,20201110,2.4353,2.4353,2.4353,933737934.59
009471,20200629,1.0001,1.0001,1.0001,160699031.18
009598,20210224,1.1175,1.1175,1.1175,396212054.73
008045,20200511,1.0119,1.0244,1.0244,610589458.5
007377,20210915,1.1093,1.1093,1.1093,265639495.28
009622,20211229,1.0987,1.0987,1.0987,414032187.4
007028,20210127,1.3735,1.3735,1.3735,487089171.66
007075,20200508,1.1084,1.1506,1.1484,425394856.0
006869,20201222,1.0301,1.0397,1.0397,61845732.4
003952,20210219,1.0177,1.199,1.1859,1017743090.22
008639,20201228,1.049,1.049,1.049,900859788.25
008528,20210610,1.6837,1.6837,1.6837,1207874469.52
010150,20210610,2.1205,2.1205,2.1205,276021.9
007129,20200603,1.111,1.111,1.111,45368473.87
010079,20210428,1.0193,1.0193,1.0193,40180299.24
009149,20211220,1.303,1.303,1.303,13537677.19
009384,20210625,1.1926,1.1926,1.1926,98473070.36
007164,20200812,1.4251,1.4251,1.4251,14412455.86
006752,20200320,0.9241,0.9241,0.9241,30429219.62
009374,20210415,1.0843,1.0843,1.0843,52720767.88
008996,20210524,1.0056,1.0176,1.0176,1290244.67
006895,20200507,1.0553,1.0553,1.0553,45279938.79
006955,20201225,1.0042,1.0413,1.0408,48800412.27
007564,20200123,1.0032,1.0032,1.0032,210063255.79
010724,20210908,0.9744,0.9744,0.9744,326749071.3
010145,20210721,1.007,1.025,1.025,1689393389.45
008174,20210308,1.5866,1.5866,1.5866,1272901523.92
009036,20201230,1.0125,1.0125,1.0125,20655.93
008192,20210507,1.0,1.0284,0.0,1047113.34
009570,20211216,0.9316,0.9316,0.9316,12905935204.32
009345,20201106,1.0838,1.0838,1.0838,6284442688.24
009855,20210304,1.0979,1.0979,1.0979,92842405.1
010462,20210813,1.0122,1.0278,1.0277,8060336125.75
166110,20200707,1.2019,1.2019,1.2019,23290452.41
007139,20210723,2.1541,2.1541,2.1541,1646835318.75
007351,20200518,1.0315,1.0315,1.0315,1563310532.7
006383,20200508,1.0683,1.0683,1.0683,748994598.71
009565,20210819,0.8799,0.8799,0.8799,36377109.21
008821,20210527,1.0392,1.0392,1.0392,28501217.07
009862,20201118,0.9957,0.9957,0.9957,232431268.95
007465,20210812,2.2478,2.2478,2.2478,722431108.6
009687,20211214,1.7539,1.7539,1.7539,47844809.12
006960,20210331,1.0049,1.0149,1.0149,106339.02
008037,20210426,1.2828,1.2828,1.2828,48422449.33
007252,20200227,1.0163,1.0163,1.0163,10750215567.68
007023,20200910,1.0144,1.0365,1.0364,2046688585.89
003520,20211022,1.0098,1.1878,1.1748,850009139.35
006796,20211013,2.2507,2.2507,2.2507,378898712.32
007333,20200724,1.0265,1.0265,1.0265,102042847.46
007171,20210816,1.014,1.0892,1.0865,3634439714.17
007784,20200507,1.0065,1.0065,1.0065,101202864.03
008269,20210723,1.3311,1.3311,1.3311,670959587.99
009292,20210415,1.0018,1.0018,1.0018,1595405083.57
007568,20200331,1.0111,1.0242,1.0241,55730281.9
007180,20210824,1.0516,1.0786,1.0776,1623471910.81
530029,20210715,1.0216,1.0216,1.0216,8342713987.34
007941,20200602,1.0639,1.0095,1.0639,7004507.72
007923,20200206,1.0369,1.0369,1.0369,215971.72
008495,20210604,1.0233,1.0233,1.0233,1016257240.96
008173,20210907,1.0796,1.0796,1.2088,2074763941.95
008185,20211018,1.3665,1.3665,1.3665,269850858.15
006143,20201211,1.3429,1.3429,1.3429,22860338.23
010202,20210416,1.0484,1.0484,1.0484,66587188.93
009782,20210315,1.0344,1.0344,1.0344,1458880966.38
002338,20200320,1.059,1.1107,1.109,33999638.75
009477,20201016,1.0006,1.0006,1.0006,13666200.06
007777,20200326,1.1835,1.1835,1.1835,378443188.1
010030,20210420,1.0653,1.0653,1.0653,159674839.08
010375,20210602,1.0476,1.0476,1.0476,264054420.93
009571,20201022,1.0226,1.0226,1.0226,3007093265.85
008768,20211124,1.0848,1.0848,1.0848,5912143.42
519991,20201113,2.2301,4.1575,2.9877,467731212.99
008480,20210811,1.5207,1.5207,1.5207,567537125.02
010134,20210316,4.3885,4.3885,4.3885,31141938.63
007962,20200313,1.0203,1.0203,1.0203,2000212062.32
009758,20200721,1.87,1.87,1.87,1004.18
007531,20210203,1.5668,1.5668,1.5668,3020407966.27
007969,20211124,1.1255,1.2474,1.2455,156650197.29
900009,20210514,2.2353,4.2809,3.2459,822361664.71
009193,20210818,0.2795,0.2795,0.2795,131389483.99
007994,20200427,1.0296,1.0296,1.0296,708992340.49
003880,20210525,1.0045,1.0045,1.0045,56804101.89
008438,20201124,1.0104,1.0104,1.0104,207434327.47
007729,20200422,0.9364,0.9364,0.9364,130260305.2
007694,20200420,1.0017,1.0017,1.0017,1471778.3
010237,20210609,1.006,1.006,1.006,154893995.79
008409,20210618,1.0248,1.0248,1.0248,674253108.07
005177,20200122,1.0986,1.0986,1.0986,344670726.78
485020,20201026,1.0101,1.0101,1.0101,23874001.45
001932,20210430,1.2597,1.3825,1.365,731615934.9
010964,20201230,1.037,1.037,1.037,
007958,20210928,1.0278,1.0616,1.0608,2221487355.01
006857,20210909,1.1282,1.1282,1.1282,10300528.09
010051,20210615,1.0,1.0173,0.0,1852511100.95
010479,20211217,1.0131,1.0463,1.0457,4044550805.81
008708,20210929,0.1296,0.1296,0.1296,3817807.71
006754,20211201,1.0337,1.1291,1.1242,1058859484.05
007687,20200109,1.0769,1.0769,1.0769,957332.84
008884,20211028,0.8725,0.8725,0.8725,19598268.85
008482,20211020,1.0302,1.0351,1.0351,550998261.48
008331,20210531,1.0653,1.0653,1.0653,24325636.47
001750,20211123,1.1035,1.1655,1.1605,81973662.29
900008,20210604,1.1307,2.0924,1.874,945845836.62
009233,20200914,1.0286,1.0286,1.0286,106000831.0
007759,20210623,1.0207,1.0502,1.0497,4034044.86
009551,20210923,1.031,1.031,1.031,1758109438.44
007023,20200423,1.022,1.0443,1.044,2046774663.11
007329,20211101,1.0535,1.0535,1.0535,170874935.23
004031,20210210,1.0619,1.0619,1.0619,1011961136.22
007099,20201202,1.1417,1.1417,1.1417,323700270.69
006848,20201120,0.993,1.0617,1.0609,336716247.14
008257,20200914,0.9941,0.9941,0.9941,207953.97
008871,20210914,1.3055,1.3055,1.3055,73072537.28
006365,20210910,2.2122,2.2122,2.2122,213836276.18
010134,20211210,4.9798,4.9798,4.9798,69796831.91
007726,20211111,1.2389,1.2389,1.2389,6168278072.46
001351,20201110,0.951,0.951,0.951,96948305.33
008729,20210818,1.0334,1.0396,1.0394,174707762.74
007078,20211021,1.0481,1.0983,1.0956,750238391.03
006989,20200116,1.033,1.033,1.033,605509824.5
007484,20210803,2.451,2.451,2.451,644201850.24
009483,20211012,1.063,1.063,1.063,84803699.95
006336,20200421,1.1613,1.1613,1.1613,202683518.35
007687,20210615,1.2069,1.2069,1.2069,167186111.95
007251,20210310,1.082,1.082,1.082,588657903.61
008919,20200612,0.9775,0.9775,0.9775,7854678809.23
009331,20201125,1.1494,1.1494,1.1494,1002998843.18
008990,20200717,1.0128,1.0178,1.0178,3000867248.65
008150,20210309,0.9804,0.9804,0.9804,1773172557.49
010134,20201014,4.7145,4.7145,4.7145,1063772.59
010860,20211220,1.0215,1.0316,1.0315,722773.73
009012,20200924,1.2807,1.2807,1.2807,157593329.62
005926,20201216,1.2687,1.2687,1.2687,11770675.16
009806,20210430,1.073,1.073,1.073,417269445.14
009157,20201027,1.0251,1.0251,1.0251,273614742.07
008206,20201019,0.9994,0.9994,0.9994,488704951.2
009560,20210506,1.0215,1.0215,1.0215,4111316852.38
009577,20210319,1.0195,1.0195,1.0195,263396495.89
008910,20210303,1.6438,1.6438,1.6438,3585176.87
007346,20200903,2.0749,2.0749,2.0749,765345784.93
008778,20210210,1.3606,1.3606,1.3606,55902351.86
007738,20200214,1.0117,1.0135,1.0135,1015004883.15
007907,20210414,1.0101,1.0568,1.0564,50098954.06
007133,20210830,1.4617,1.4617,1.4617,29967285.73
007360,20211118,1.0103,1.0103,1.0103,796988771.06
004978,20201106,1.0937,1.1615,1.1602,225059674.27
007952,20210506,1.2464,1.2464,1.2464,438268.23
000347,20210311,1.012,1.3983,1.3456,44410996.21
900078,20210721,1.2745,1.2745,2.0178,469164766.13
008929,20210623,1.6853,1.6853,1.6853,39630972.38
005984,20201216,1.101,1.101,1.101,1107773067.97
007415,20210421,1.2534,1.2534,1.2534,902500071.93
009990,20210716,1.2602,1.2602,1.2602,2115447626.94
009846,20210303,1.1976,1.1976,1.1976,1626699134.92
007753,20211014,1.1113,1.1113,1.1113,29308158.35
001783,20210423,1.0131,1.0601,1.0592,4992331776.19
010029,20210707,1.0878,1.0878,1.0878,597650398.18
009111,20211224,1.0684,1.0684,1.0684,13002871.97
007412,20210316,1.9376,1.9376,1.9376,8245963140.63
006467,20210811,1.1242,1.1242,1.1242,84201276.75
008293,20210910,1.5804,1.5804,1.5804,1335984116.31
007246,20200623,1.0434,1.0434,1.0434,1389380794.48
007103,20200611,1.035,1.035,1.035,122251957.04
007197,20210119,1.0142,1.0589,1.0582,1705659615.28
009585,20210901,1.0167,1.038,1.0376,8082708401.18
007292,20210324,1.0333,1.0573,1.0571,816388104.97
010856,20211011,1.0266,1.0266,1.0266,1022710968.03
006907,20200629,1.0112,1.0405,1.0402,1034756349.34
007367,20200608,1.0087,1.0236,1.0237,4944757.96
160528,20211125,1.177,1.2033,1.2031,82032781.54
009051,20201223,1.0368,1.0368,1.0368,493219680.38
970003,20201223,1.0309,1.5316,1.4823,19493319.91
006233,20210909,3.1052,3.1052,3.1052,141568861.07
006845,20201117,1.1856,1.1856,1.1856,47570482.76
009637,20200814,1.0309,1.041,1.0309,1.0
007691,20210305,1.0105,1.0105,1.0105,230941087.78
008227,20210114,2.0696,2.0696,2.0696,955364519.79
009026,20211126,1.6584,1.6584,1.6584,103645360.27
007662,20201221,1.1648,1.1648,1.1648,25739305.5
008690,20201126,0.9751,0.9751,0.9751,142195343.9
006804,20201215,1.0587,1.0587,1.0587,567945124.63
008751,20210225,1.0682,1.0682,1.0682,259654001.39
007493,20200713,1.6153,1.6153,1.6153,855127465.23
000270,20211029,1.0695,1.6336,1.6336,247542610.46
008462,20200702,1.2502,1.2502,1.2502,62808401.92
005979,20210730,1.5582,1.5582,1.5582,89399329.81
008992,20211112,1.2786,1.2786,1.2786,22409.15
009586,20211017,1.0,1.0337,0.0,22791220297.27
008764,20210609,1.517,1.517,1.517,515128617.13
009655,20211202,1.0634,1.0634,1.0634,9316717.47
007455,20210820,2.2281,2.2281,2.2281,3104642140.42
006106,20211116,0.9331,0.9331,0.9331,47064776.72
006801,20200720,1.557,1.557,1.557,30803457.16
008673,20200622,1.0429,1.0429,1.0429,187730220.47
008252,20200520,1.0687,1.0687,1.0687,56018192.83
007291,20200806,1.321,1.321,1.321,203278435.3
010206,20210225,1.0397,1.0397,1.0397,204527.3
008469,20211220,1.1823,1.1823,1.1823,1784524674.79
009139,20211227,1.4371,1.4371,1.4371,511100668.21
008891,20210615,1.6977,1.6977,1.6977,332341553.41
003127,20211207,1.2493,1.2493,1.2493,515709981.75
006750,20201216,1.0106,1.0467,1.0466,8244858229.7
010293,20210226,0.967,0.967,0.967,2378542142.74
006675,20201123,1.3618,1.3618,1.3618,27943646.83
007473,20211209,1.7866,1.7866,1.7866,130063044.09
008701,20210329,0.8883,0.8883,0.8883,47986971.44
006854,20201109,0.9921,0.9921,0.9921,60294269.98
006603,20211221,1.2557,1.2557,1.2557,14700970.22
010685,20210628,5.07,5.07,5.07,177136342.05
008741,20200715,1.0086,1.0086,1.0086,126432424.66
011084,20210302,0.9949,0.9949,0.9949,10000029.97
007998,20210909,1.0148,1.0801,1.0778,199606426.99
009616,20201216,1.008,1.009,1.009,30202668.89
006631,20210625,1.0865,1.0865,1.0865,537125015.22
006713,20200206,1.3009,1.3009,1.3009,18658923.41
007714,20200803,1.0103,1.0342,1.0343,976535799.09
006148,20211116,1.1523,1.1523,1.1523,22022821.69
007776,20200914,1.3296,1.3296,1.3296,14367110.58
006878,20200102,1.1579,1.1579,1.1579,65912665.55
000270,20211209,1.1111,1.6971,1.6971,247542610.46
006883,20210903,1.5731,1.5731,1.5731,150397493.15
007507,20200717,0.9919,1.0347,1.0349,6344999062.87
006350,20210512,1.2481,1.2481,1.2481,2446700.16
009808,20211116,1.2551,1.2551,1.2551,4659072867.03
007301,20210423,1.9131,1.9131,1.9131,2957536495.92
008836,20210824,1.0693,1.0693,1.0693,239149198.99
009893,20211123,1.1335,1.1335,1.1335,56368287.18
009838,20210108,1.0003,1.0003,1.0003,12039253.61
008528,20210803,1.7012,1.7012,1.7012,1141724783.57
007676,20210728,1.0231,1.0619,1.0606,545680690.16
008938,20211105,1.0092,1.0418,1.0413,2007175088.08
009748,20210519,1.0184,1.0184,1.0184,4055717673.8
006823,20200514,1.1257,1.1257,1.1257,26033940.09
007271,20210601,1.4218,1.4218,1.4218,67086757.87
009322,20210421,1.4488,1.4488,1.4488,4173775.21
007279,20210428,1.0208,1.0484,1.0483,1355250622.54
009402,20210811,1.6427,1.6427,1.6427,2716497593.44
010063,20210305,1.0294,1.0294,1.0294,872574155.01
004632,20200603,1.0279,1.0546,1.0539,1034480124.27
009129,20200707,1.0495,1.0495,1.0495,45880428.7
009231,20211220,1.1909,1.1909,1.1909,484805405.44
008486,20211008,1.0426,1.0629,1.0621,844066614.46
008433,20200403,1.0024,1.0051,1.0051,200818961.76
006147,20200211,1.1009,1.1009,1.1009,377290919.93
005491,20211029,1.8757,1.8757,1.8757,1478222119.38
006623,20210507,1.3112,1.3112,1.3112,18386056.97
007053,20210330,1.0554,1.0554,1.0554,86553352.96
007521,20200317,1.0,1.0199,0.0,5714729.94
006523,20210108,1.732,1.732,1.732,3890770.59
005513,20201209,1.0422,1.0422,1.0422,3509312.36
009344,20200824,1.0031,1.0031,1.0031,267661.37
007134,20200409,1.0727,1.0727,1.0727,5780294.88
008266,20210429,1.0196,1.0196,1.0196,1062731879.53
006938,20200123,1.286,1.286,1.286,15576938.18
009288,20200629,0.9923,0.9923,0.9923,2438325.95
008003,20210428,1.0427,1.0427,1.0427,7501730241.2
008637,20211008,1.0337,1.0337,1.0337,526967115.74
009068,20200403,1.0,1.0,1.0,313768.27
007749,20211217,1.247,1.247,1.247,1273614700.52
007495,20210604,1.1233,1.1943,1.1933,18494.53
009534,20210827,1.05,1.05,1.05,273769635.64
002719,20200401,1.1288,1.1818,1.1788,273960296.16
000346,20200403,1.0524,1.4601,1.3918,12272894.58
008547,20200318,0.9739,0.9739,0.9739,331804381.81
010199,20210319,1.0281,1.0281,1.0281,762329372.09
007589,20200327,1.012,1.0196,1.0195,2239587262.94
161620,20200323,0.6519,0.6519,0.6519,50928684.64
009604,20200610,1.0797,1.0797,1.0797,
003123,20211201,1.1162,1.1162,1.1162,883893.91
008911,20201013,1.0005,1.0005,1.0005,70373206.31
006953,20210121,1.0141,1.0762,1.2502,4419309255.59
007694,20210420,1.1762,1.1762,1.1762,1882270.52
007815,20210518,1.3651,1.3651,1.3651,70971565.76
007180,20200310,1.0249,1.0411,1.0409,7469793404.26
008954,20210804,1.34,1.4353,1.44,3869616174.21
008736,20210923,1.0819,1.0819,1.0819,158050997.33
360019,20210903,1.0432,1.0432,1.0432,7300094594.27
006860,20200918,1.2357,1.2357,1.2357,15328870.47
009494,20201103,1.0134,1.0134,1.0134,24283130.57
970008,20210524,1.0755,1.0755,1.0755,175571450.0
010310,20211217,1.0348,1.0399,1.0398,444715.7
008617,20210531,1.0222,1.0222,1.0222,274969432.73
008305,20200213,1.71,1.71,1.71,2342.08
007854,20200903,1.6279,1.6279,1.6279,415130753.34
006905,20210513,1.9559,2.0475,2.0363,355204384.83
007569,20200212,1.1184,1.1184,1.1184,322667.84
