基金代码,基金简称,持仓日期,对应股票代码,债券名称,数量,市值,市值占基金资产净值比,第N大重仓股,所在证券市场,所属国家(地区),报告类型
511380,博时中证可转债及可交换债券ETF,20210630,002616,长集转债,7124.0,772575.23,0.0011,130,深圳证券交易所,中华人民共和国,季报
010600,光大保德信安瑞一年持有期债券A,20210930,002616,长集转债,59189.0,6800255.28,0.003,6,深圳证券交易所,中华人民共和国,季报
008610,海富通添鑫收益债券C,20211231,002616,长集转债,309.0,34611.5,0.0008,34,深圳证券交易所,中华人民共和国,年报(含半年报)
009350,新疆前海联合添泽债券C,20211231,002616,长集转债,16947.0,1898050.0,0.0011,28,深圳证券交易所,中华人民共和国,年报(含半年报)
511380,博时中证可转债及可交换债券ETF,20201231,002616,长集转债,12589.0,1355331.51,0.0013,104,深圳证券交易所,中华人民共和国,季报
009350,新疆前海联合添泽债券C,20210930,002616,长集转债,5489.0,630630.0,0.0004,51,深圳证券交易所,中华人民共和国,季报
009735,天弘增强回报债券E,20211231,002616,长集转债,222293.0,24896833.5,0.0012,40,深圳证券交易所,中华人民共和国,季报
920007,中金恒瑞债券A,20210331,002616,长集转债,68176.0,7272056.1,0.0328,1,深圳证券交易所,中华人民共和国,季报
006466,浦银安盛双债增强债券A,20211231,002616,长集转债,29906.0,3349500.0,0.0018,24,深圳证券交易所,中华人民共和国,年报(含半年报)
009182,浙商智多兴稳健回报一年持有期混合C,20201231,002616,长集转债,10288.0,1107582.68,0.0009,16,深圳证券交易所,中华人民共和国,年报(含半年报)
007762,富国天盈债券(LOF)A,20211231,002616,长集转债,7685.0,860709.85,0.0002,37,深圳证券交易所,中华人民共和国,季报
007128,天弘增强回报债券A,20210930,002616,长集转债,112764.0,12955433.4,0.0016,23,深圳证券交易所,中华人民共和国,季报
009350,新疆前海联合添泽债券C,20210630,002616,长集转债,3996.0,433360.0,0.0004,24,深圳证券交易所,中华人民共和国,年报(含半年报)
009610,天弘永利债券C,20211231,002616,长集转债,13159.0,1473780.0,0.0001,65,深圳证券交易所,中华人民共和国,季报
009181,浙商智多兴稳健回报一年持有期混合A,20201231,002616,长集转债,10288.0,1107582.68,0.0009,16,深圳证券交易所,中华人民共和国,年报(含半年报)
007129,天弘增强回报债券C,20211231,002616,长集转债,222293.0,24896833.5,0.0012,40,深圳证券交易所,中华人民共和国,季报
007497,中庚价值灵动灵活配置混合,20201231,002616,长集转债,54163.0,5831300.4,0.0027,21,深圳证券交易所,中华人民共和国,年报(含半年报)
970008,华安证券汇赢增利一年持有期灵活配置混合C,20211231,002616,长集转债,284540.0,31868515.26,0.0202,4,深圳证券交易所,中华人民共和国,年报(含半年报)
009182,浙商智多兴稳健回报一年持有期混合C,20201231,002616,长集转债,10288.0,1107582.68,0.0009,16,深圳证券交易所,中华人民共和国,季报
007129,天弘增强回报债券C,20211231,002616,长集转债,222293.0,24896833.5,0.0012,40,深圳证券交易所,中华人民共和国,年报(含半年报)
009349,新疆前海联合添泽债券A,20210630,002616,长集转债,3996.0,433360.0,0.0004,24,深圳证券交易所,中华人民共和国,季报
007762,富国天盈债券(LOF)A,20201231,002616,长集转债,70747.0,7616787.0,0.0048,5,深圳证券交易所,中华人民共和国,年报(含半年报)
009181,浙商智多兴稳健回报一年持有期混合A,20201231,002616,长集转债,10288.0,1107582.68,0.0009,16,深圳证券交易所,中华人民共和国,季报
970006,华安证券汇赢增利一年持有期灵活配置混合A,20210930,002616,长集转债,285660.0,32737207.32,0.0256,1,深圳证券交易所,中华人民共和国,季报
006467,浦银安盛双债增强债券C,20211231,002616,长集转债,29906.0,3349500.0,0.0018,24,深圳证券交易所,中华人民共和国,季报
010600,光大保德信安瑞一年持有期债券A,20210630,002616,长集转债,59939.0,6500400.0,0.0029,10,深圳证券交易所,中华人民共和国,季报
009610,天弘永利债券C,20210930,002616,长集转债,51616.0,5930215.2,0.0002,53,深圳证券交易所,中华人民共和国,季报
006973,太平睿盈混合A,20210630,002616,长集转债,2997.0,325020.0,0.0005,35,深圳证券交易所,中华人民共和国,季报
007497,中庚价值灵动灵活配置混合,20201231,002616,长集转债,54163.0,5831300.4,0.0027,21,深圳证券交易所,中华人民共和国,季报
511380,博时中证可转债及可交换债券ETF,20210630,002616,长集转债,7124.0,772575.23,0.0011,130,深圳证券交易所,中华人民共和国,年报(含半年报)
008302,永赢易弘债券A,20201231,002616,长集转债,19957.0,2148600.0,0.0038,7,深圳证券交易所,中华人民共和国,年报(含半年报)
007762,富国天盈债券(LOF)A,20201231,002616,长集转债,70747.0,7616787.0,0.0048,5,深圳证券交易所,中华人民共和国,季报
002714,鹏华金城灵活配置混合,20211231,002616,长集转债,30694.0,3437703.5,0.0045,3,深圳证券交易所,中华人民共和国,年报(含半年报)
007762,富国天盈债券(LOF)A,20210630,002616,长集转债,8123.0,880912.54,0.0007,56,深圳证券交易所,中华人民共和国,年报(含半年报)
009121,广发招享混合A,20211231,002616,长集转债,50742.0,5683096.65,0.0012,14,深圳证券交易所,中华人民共和国,季报
009121,广发招享混合A,20211231,002616,长集转债,50742.0,5683096.65,0.0012,14,深圳证券交易所,中华人民共和国,年报(含半年报)
010871,中银信用增利债券(LOF)C,20201231,002616,长集转债,40365.0,4345758.36,0.0018,16,深圳证券交易所,中华人民共和国,年报(含半年报)
010435,富国双债增强债券A,20210630,002616,长集转债,5626.0,610170.88,0.0015,47,深圳证券交易所,中华人民共和国,季报
007683,华商转债精选债券A,20211231,002616,长集转债,1166.0,130630.5,0.0021,90,深圳证券交易所,中华人民共和国,年报(含半年报)
007669,太平睿盈混合C,20211231,002616,长集转债,2991.0,334950.0,0.0004,45,深圳证券交易所,中华人民共和国,季报
007762,富国天盈债券(LOF)A,20210930,002616,长集转债,7694.0,883913.94,0.0003,37,深圳证券交易所,中华人民共和国,季报
007684,华商转债精选债券C,20211231,002616,长集转债,1166.0,130630.5,0.0021,90,深圳证券交易所,中华人民共和国,年报(含半年报)
860030,光大阳光添利债券C,20211231,002616,长集转债,11753.0,1316341.71,0.0003,28,深圳证券交易所,中华人民共和国,年报(含半年报)
010435,富国双债增强债券A,20211231,002616,长集转债,5614.0,628812.8,0.0003,35,深圳证券交易所,中华人民共和国,年报(含半年报)
007669,太平睿盈混合C,20210930,002616,长集转债,2994.0,343980.0,0.0004,25,深圳证券交易所,中华人民共和国,季报
008947,华夏鼎源债券A,20210930,002616,长集转债,1557.0,178869.6,0.0011,3,深圳证券交易所,中华人民共和国,季报
006466,浦银安盛双债增强债券A,20210930,002616,长集转债,4990.0,573300.0,0.0009,54,深圳证券交易所,中华人民共和国,季报
007128,天弘增强回报债券A,20211231,002616,长集转债,222293.0,24896833.5,0.0012,40,深圳证券交易所,中华人民共和国,年报(含半年报)
970007,华安证券汇赢增利一年持有期灵活配置混合B,20210930,002616,长集转债,285660.0,32737207.32,0.0256,1,深圳证券交易所,中华人民共和国,季报
008610,海富通添鑫收益债券C,20210930,002616,长集转债,190.0,21785.4,0.0007,68,深圳证券交易所,中华人民共和国,季报
007684,华商转债精选债券C,20211231,002616,长集转债,1166.0,130630.5,0.0021,90,深圳证券交易所,中华人民共和国,季报
009735,天弘增强回报债券E,20211231,002616,长集转债,222293.0,24896833.5,0.0012,40,深圳证券交易所,中华人民共和国,年报(含半年报)
006467,浦银安盛双债增强债券C,20211231,002616,长集转债,29906.0,3349500.0,0.0018,24,深圳证券交易所,中华人民共和国,年报(含半年报)
010044,天弘安康颐和混合C,20211231,002616,长集转债,33944.0,3801682.5,0.0025,15,深圳证券交易所,中华人民共和国,季报
010600,光大保德信安瑞一年持有期债券A,20210331,002616,长集转债,39881.0,4254000.0,0.002,8,深圳证券交易所,中华人民共和国,季报
010043,天弘安康颐和混合A,20211231,002616,长集转债,33944.0,3801682.5,0.0025,15,深圳证券交易所,中华人民共和国,季报
860030,光大阳光添利债券C,20211231,002616,长集转债,11753.0,1316341.71,0.0003,28,深圳证券交易所,中华人民共和国,季报
010601,光大保德信安瑞一年持有期债券C,20210630,002616,长集转债,59939.0,6500400.0,0.0029,10,深圳证券交易所,中华人民共和国,年报(含半年报)
860005,光大阳光添利债券A,20211231,002616,长集转债,11753.0,1316341.71,0.0003,28,深圳证券交易所,中华人民共和国,年报(含半年报)
006466,浦银安盛双债增强债券A,20211231,002616,长集转债,29906.0,3349500.0,0.0018,24,深圳证券交易所,中华人民共和国,季报
007762,富国天盈债券(LOF)A,20210331,002616,长集转债,16083.0,1715531.85,0.0017,41,深圳证券交易所,中华人民共和国,季报
970006,华安证券汇赢增利一年持有期灵活配置混合A,20211231,002616,长集转债,284540.0,31868515.26,0.0202,4,深圳证券交易所,中华人民共和国,季报
010436,富国双债增强债券C,20210630,002616,长集转债,5626.0,610170.88,0.0015,47,深圳证券交易所,中华人民共和国,年报(含半年报)
010600,光大保德信安瑞一年持有期债券A,20210630,002616,长集转债,59939.0,6500400.0,0.0029,10,深圳证券交易所,中华人民共和国,年报(含半年报)
007032,平安可转债债券A,20210630,002616,长集转债,1498.0,162510.0,0.0072,31,深圳证券交易所,中华人民共和国,年报(含半年报)
009121,广发招享混合A,20210331,002616,长集转债,50750.0,5413321.35,0.0034,11,深圳证券交易所,中华人民共和国,季报
009131,鹏扬景恒六个月持有期混合C,20201231,002616,长集转债,29927.0,3222040.56,0.0012,8,深圳证券交易所,中华人民共和国,季报
511380,博时中证可转债及可交换债券ETF,20210930,002616,长集转债,6307.0,724615.8,0.0011,136,深圳证券交易所,中华人民共和国,季报
007128,天弘增强回报债券A,20211231,002616,长集转债,222293.0,24896833.5,0.0012,40,深圳证券交易所,中华人民共和国,季报
009121,广发招享混合A,20201231,002616,长集转债,32830.0,3534554.43,0.0025,6,深圳证券交易所,中华人民共和国,季报
010436,富国双债增强债券C,20210331,002616,长集转债,10601.0,1130713.2,0.0023,39,深圳证券交易所,中华人民共和国,季报
010435,富国双债增强债券A,20210331,002616,长集转债,10601.0,1130713.2,0.0023,39,深圳证券交易所,中华人民共和国,季报
008611,海富通添鑫收益债券A,20210331,002616,长集转债,608.0,64873.5,0.0011,34,深圳证券交易所,中华人民共和国,季报
010044,天弘安康颐和混合C,20211231,002616,长集转债,33944.0,3801682.5,0.0025,15,深圳证券交易所,中华人民共和国,年报(含半年报)
009758,富国可转换债券C,20210630,002616,长集转债,300015.0,32536668.8,0.0062,35,深圳证券交易所,中华人民共和国,季报
010435,富国双债增强债券A,20210630,002616,长集转债,5626.0,610170.88,0.0015,47,深圳证券交易所,中华人民共和国,年报(含半年报)
009758,富国可转换债券C,20210630,002616,长集转债,300015.0,32536668.8,0.0062,35,深圳证券交易所,中华人民共和国,年报(含半年报)
006973,太平睿盈混合A,20211231,002616,长集转债,2991.0,334950.0,0.0004,45,深圳证券交易所,中华人民共和国,季报
970008,华安证券汇赢增利一年持有期灵活配置混合C,20211231,002616,长集转债,284540.0,31868515.26,0.0202,4,深圳证券交易所,中华人民共和国,季报
010436,富国双债增强债券C,20210930,002616,长集转债,5621.0,645765.12,0.0005,33,深圳证券交易所,中华人民共和国,季报
003471,新疆前海联合添鑫3个月定期开放债券A,20211231,002616,长集转债,100.0,11165.0,0.0007,78,深圳证券交易所,中华人民共和国,季报
860005,光大阳光添利债券A,20211231,002616,长集转债,11753.0,1316341.71,0.0003,28,深圳证券交易所,中华人民共和国,季报
003472,新疆前海联合添鑫3个月定期开放债券C,20211231,002616,长集转债,100.0,11165.0,0.0007,78,深圳证券交易所,中华人民共和国,季报
006973,太平睿盈混合A,20210930,002616,长集转债,2994.0,343980.0,0.0004,25,深圳证券交易所,中华人民共和国,季报
008611,海富通添鑫收益债券A,20210930,002616,长集转债,190.0,21785.4,0.0007,68,深圳证券交易所,中华人民共和国,季报
010436,富国双债增强债券C,20211231,002616,长集转债,5614.0,628812.8,0.0003,35,深圳证券交易所,中华人民共和国,季报
010601,光大保德信安瑞一年持有期债券C,20210331,002616,长集转债,39881.0,4254000.0,0.002,8,深圳证券交易所,中华人民共和国,季报
010601,光大保德信安瑞一年持有期债券C,20210630,002616,长集转债,59939.0,6500400.0,0.0029,10,深圳证券交易所,中华人民共和国,季报
003472,新疆前海联合添鑫3个月定期开放债券C,20211231,002616,长集转债,100.0,11165.0,0.0007,78,深圳证券交易所,中华人民共和国,年报(含半年报)
007497,中庚价值灵动灵活配置混合,20210331,002616,长集转债,42287.0,4510622.55,0.0025,27,深圳证券交易所,中华人民共和国,季报
002714,鹏华金城灵活配置混合,20211231,002616,长集转债,30694.0,3437703.5,0.0045,3,深圳证券交易所,中华人民共和国,季报
511380,博时中证可转债及可交换债券ETF,20211231,002616,长集转债,5671.0,635111.08,0.001,156,深圳证券交易所,中华人民共和国,季报
007033,平安可转债债券C,20210630,002616,长集转债,1498.0,162510.0,0.0072,31,深圳证券交易所,中华人民共和国,年报(含半年报)
010871,中银信用增利债券(LOF)C,20201231,002616,长集转债,40365.0,4345758.36,0.0018,16,深圳证券交易所,中华人民共和国,季报
009758,富国可转换债券C,20210331,002616,长集转债,246587.0,26302482.0,0.0079,22,深圳证券交易所,中华人民共和国,季报
007033,平安可转债债券C,20210630,002616,长集转债,1498.0,162510.0,0.0072,31,深圳证券交易所,中华人民共和国,季报
009130,鹏扬景恒六个月持有期混合A,20201231,002616,长集转债,29927.0,3222040.56,0.0012,8,深圳证券交易所,中华人民共和国,季报
007669,太平睿盈混合C,20210630,002616,长集转债,2997.0,325020.0,0.0005,35,深圳证券交易所,中华人民共和国,季报
010435,富国双债增强债券A,20210930,002616,长集转债,5621.0,645765.12,0.0005,33,深圳证券交易所,中华人民共和国,季报
970007,华安证券汇赢增利一年持有期灵活配置混合B,20211231,002616,长集转债,284540.0,31868515.26,0.0202,4,深圳证券交易所,中华人民共和国,季报
008611,海富通添鑫收益债券A,20211231,002616,长集转债,309.0,34611.5,0.0008,34,深圳证券交易所,中华人民共和国,年报(含半年报)
006973,太平睿盈混合A,20210630,002616,长集转债,2997.0,325020.0,0.0005,35,深圳证券交易所,中华人民共和国,年报(含半年报)
009349,新疆前海联合添泽债券A,20211231,002616,长集转债,16947.0,1898050.0,0.0011,28,深圳证券交易所,中华人民共和国,年报(含半年报)
970007,华安证券汇赢增利一年持有期灵活配置混合B,20211231,002616,长集转债,284540.0,31868515.26,0.0202,4,深圳证券交易所,中华人民共和国,年报(含半年报)
511380,博时中证可转债及可交换债券ETF,20210331,002616,长集转债,8740.0,932306.71,0.0013,111,深圳证券交易所,中华人民共和国,季报
008611,海富通添鑫收益债券A,20211231,002616,长集转债,309.0,34611.5,0.0008,34,深圳证券交易所,中华人民共和国,季报
006973,太平睿盈混合A,20211231,002616,长集转债,2991.0,334950.0,0.0004,45,深圳证券交易所,中华人民共和国,年报(含半年报)
008610,海富通添鑫收益债券C,20210331,002616,长集转债,608.0,64873.5,0.0011,34,深圳证券交易所,中华人民共和国,季报
009349,新疆前海联合添泽债券A,20210630,002616,长集转债,3996.0,433360.0,0.0004,24,深圳证券交易所,中华人民共和国,年报(含半年报)
970008,华安证券汇赢增利一年持有期灵活配置混合C,20210930,002616,长集转债,285660.0,32737207.32,0.0256,1,深圳证券交易所,中华人民共和国,季报
009758,富国可转换债券C,20201231,002616,长集转债,300900.0,32395516.5,0.0105,22,深圳证券交易所,中华人民共和国,年报(含半年报)
008948,华夏鼎源债券C,20210930,002616,长集转债,1557.0,178869.6,0.0011,3,深圳证券交易所,中华人民共和国,季报
009758,富国可转换债券C,20201231,002616,长集转债,300900.0,32395516.5,0.0105,22,深圳证券交易所,中华人民共和国,季报
008008,易方达稳健收益债券C,20210331,002616,长集转债,6491.0,692338.5,0.0,77,深圳证券交易所,中华人民共和国,季报
920927,中金恒瑞债券C,20210331,002616,长集转债,68176.0,7272056.1,0.0328,1,深圳证券交易所,中华人民共和国,季报
009121,广发招享混合A,20210930,002616,长集转债,50799.0,5836308.66,0.0041,10,深圳证券交易所,中华人民共和国,季报
009735,天弘增强回报债券E,20210930,002616,长集转债,112764.0,12955433.4,0.0016,23,深圳证券交易所,中华人民共和国,季报
009349,新疆前海联合添泽债券A,20210930,002616,长集转债,5489.0,630630.0,0.0004,51,深圳证券交易所,中华人民共和国,季报
010436,富国双债增强债券C,20210630,002616,长集转债,5626.0,610170.88,0.0015,47,深圳证券交易所,中华人民共和国,季报
970006,华安证券汇赢增利一年持有期灵活配置混合A,20211231,002616,长集转债,284540.0,31868515.26,0.0202,4,深圳证券交易所,中华人民共和国,年报(含半年报)
010871,中银信用增利债券(LOF)C,20210331,002616,长集转债,40332.0,4302070.2,0.0023,21,深圳证券交易所,中华人民共和国,季报
007129,天弘增强回报债券C,20210930,002616,长集转债,112764.0,12955433.4,0.0016,23,深圳证券交易所,中华人民共和国,季报
006650,招商安庆债券,20210331,002616,长集转债,3609.0,384987.0,0.0025,23,深圳证券交易所,中华人民共和国,季报
009350,新疆前海联合添泽债券C,20211231,002616,长集转债,16947.0,1898050.0,0.0011,28,深圳证券交易所,中华人民共和国,季报
007683,华商转债精选债券A,20211231,002616,长集转债,1166.0,130630.5,0.0021,90,深圳证券交易所,中华人民共和国,季报
009121,广发招享混合A,20201231,002616,长集转债,32830.0,3534554.43,0.0025,6,深圳证券交易所,中华人民共和国,年报(含半年报)
009130,鹏扬景恒六个月持有期混合A,20201231,002616,长集转债,29927.0,3222040.56,0.0012,8,深圳证券交易所,中华人民共和国,年报(含半年报)
010043,天弘安康颐和混合A,20211231,002616,长集转债,33944.0,3801682.5,0.0025,15,深圳证券交易所,中华人民共和国,年报(含半年报)
006650,招商安庆债券,20210630,002616,长集转债,2378.0,257849.2,0.0011,30,深圳证券交易所,中华人民共和国,年报(含半年报)
009350,新疆前海联合添泽债券C,20210630,002616,长集转债,3996.0,433360.0,0.0004,24,深圳证券交易所,中华人民共和国,季报
008610,海富通添鑫收益债券C,20211231,002616,长集转债,309.0,34611.5,0.0008,34,深圳证券交易所,中华人民共和国,季报
511380,博时中证可转债及可交换债券ETF,20201231,002616,长集转债,12589.0,1355331.51,0.0013,104,深圳证券交易所,中华人民共和国,年报(含半年报)
003471,新疆前海联合添鑫3个月定期开放债券A,20211231,002616,长集转债,100.0,11165.0,0.0007,78,深圳证券交易所,中华人民共和国,年报(含半年报)
007032,平安可转债债券A,20210630,002616,长集转债,1498.0,162510.0,0.0072,31,深圳证券交易所,中华人民共和国,季报
009610,天弘永利债券C,20211231,002616,长集转债,13159.0,1473780.0,0.0001,65,深圳证券交易所,中华人民共和国,年报(含半年报)
010435,富国双债增强债券A,20211231,002616,长集转债,5614.0,628812.8,0.0003,35,深圳证券交易所,中华人民共和国,季报
007762,富国天盈债券(LOF)A,20211231,002616,长集转债,7685.0,860709.85,0.0002,37,深圳证券交易所,中华人民共和国,年报(含半年报)
009512,天弘添利债券(LOF)E,20201231,002616,长集转债,63742.0,6862628.4,0.0064,29,深圳证券交易所,中华人民共和国,年报(含半年报)
920007,中金恒瑞债券A,20210930,002616,长集转债,14962.0,1719000.0,0.0146,3,深圳证券交易所,中华人民共和国,季报
009121,广发招享混合A,20210630,002616,长集转债,50849.0,5514614.34,0.0036,10,深圳证券交易所,中华人民共和国,季报
006650,招商安庆债券,20210630,002616,长集转债,2378.0,257849.2,0.0011,30,深圳证券交易所,中华人民共和国,季报
009121,广发招享混合A,20210630,002616,长集转债,50849.0,5514614.34,0.0036,10,深圳证券交易所,中华人民共和国,年报(含半年报)
007762,富国天盈债券(LOF)A,20210630,002616,长集转债,8123.0,880912.54,0.0007,56,深圳证券交易所,中华人民共和国,季报
009512,天弘添利债券(LOF)E,20201231,002616,长集转债,63742.0,6862628.4,0.0064,29,深圳证券交易所,中华人民共和国,季报
010436,富国双债增强债券C,20211231,002616,长集转债,5614.0,628812.8,0.0003,35,深圳证券交易所,中华人民共和国,年报(含半年报)
009349,新疆前海联合添泽债券A,20211231,002616,长集转债,16947.0,1898050.0,0.0011,28,深圳证券交易所,中华人民共和国,季报
